Z mean train,Z variance train,KL Divergence,KL Loss,QF Loss,VF Loss,Policy Loss,Q Predictions Mean,Q Predictions Std,Q Predictions Max,Q Predictions Min,V Predictions Mean,V Predictions Std,V Predictions Max,V Predictions Min,Log Pis Mean,Log Pis Std,Log Pis Max,Log Pis Min,Policy mu Mean,Policy mu Std,Policy mu Max,Policy mu Min,Policy log std Mean,Policy log std Std,Policy log std Max,Policy log std Min,Z mean eval,Z variance eval,AverageTrainReturn_all_train_tasks,AverageReturn_all_train_tasks,AverageReturn_all_test_tasks,Number of train steps total,Number of env steps total,Number of rollouts total,Train Time (s),(Previous) Eval Time (s),Sample Time (s),Epoch Time (s),Total Train Time (s),Epoch
0.3717789,0.014438865,36.373337,3.6373336,584.4845,137.07544,-1393.372,1388.876,330.65195,1697.3926,68.883934,1395.9534,327.2536,1707.8896,73.71427,0.8173552,3.119527,15.374926,-9.197102,-0.024079103,0.67223793,2.7501779,-2.9730425,-1.0634875,0.3226719,-0.08218902,-2.638997,0.3753106,0.005000961,920.1091109457427,898.681113947528,933.2234558355924,724000,980279,0,274.9677448000002,18.34050319999369,7.208744100003969,300.5169920999979,54747.562602899925,180
0.26503223,0.013896352,38.037193,3.8037193,666.83984,163.92357,-1389.6516,1384.895,325.56998,1686.7944,-35.095978,1385.4045,319.1629,1669.8126,56.01664,0.953035,3.3059514,18.133636,-10.105963,0.0026208395,0.6654763,2.9502797,-2.9800458,-1.0836169,0.3208289,-0.045811236,-2.7253127,0.47250193,0.0059750266,705.2861470403382,919.3454546207729,891.3694208386529,728000,985389,0,275.70398230000137,18.36047690000123,6.971914400011883,301.0363736000145,55049.12652709994,181
0.3382639,0.0132922735,37.945545,3.7945545,1306.1394,262.04834,-1321.2625,1314.5896,318.0692,1675.5511,36.71099,1322.4136,311.0032,1671.432,60.22565,0.89217496,3.2996829,18.917301,-8.5983095,-0.019273277,0.65822554,2.8452597,-3.8333209,-1.0724249,0.3065866,-0.048169732,-2.8567562,0.4570331,0.007089612,944.3310074022206,914.1887082622451,910.9266835590023,732000,990692,0,274.83133459999954,18.887978699996893,7.6925392000048305,301.41185250000126,55350.86768299994,182
0.3985613,0.014688614,38.14612,3.814612,913.35956,340.39038,-1362.1521,1359.0228,327.90216,1713.4209,61.493385,1367.7056,321.50372,1709.5223,75.491,1.1811823,3.4094834,19.948093,-8.77627,0.021837303,0.6843478,2.8646173,-3.0462463,-1.0800548,0.32870743,-0.014886439,-3.0013447,0.22581546,0.00516112,790.7917128730508,777.0976022228499,766.3455248105302,736000,996134,0,276.0889454999997,19.218346399997245,7.758592999998655,303.0658848999956,55653.78323269994,183
0.36841676,0.011951705,40.524834,4.0524836,591.9464,232.05,-1385.9384,1382.9033,332.0947,1706.6619,10.921057,1390.9797,327.47934,1689.0065,64.49983,0.8119347,3.3071542,23.45745,-14.111858,-0.031403955,0.6748783,5.539974,-3.257849,-1.051105,0.31329963,0.13156152,-3.0402987,0.40595612,0.005614913,825.7656934337012,939.1185562716723,904.0345380243526,740000,1001255,0,274.8713529000015,19.067557000002125,7.168231499992544,301.1071413999962,55955.108589799944,184
0.28252319,0.014731574,38.21521,3.821521,729.6173,201.9521,-1455.0015,1451.8738,288.24194,1753.9962,83.05577,1447.9082,285.90668,1733.966,70.92417,1.0612856,3.3093417,27.228764,-8.441903,-0.045555897,0.66861516,3.106526,-3.7766883,-1.0772154,0.31084466,-0.09651393,-2.7563863,0.39388674,0.0067912214,951.6987101487264,862.3399302774453,920.9265772898035,744000,1006752,0,275.66437009999936,19.2855772000039,7.641602099996817,302.5915494000001,56256.95952659994,185
0.2834307,0.016228762,37.098366,3.7098367,705.2839,219.33237,-1427.7147,1419.6202,334.77524,1740.8328,75.39992,1424.9978,333.27188,1748.0431,73.23934,1.0765624,3.2869344,17.99303,-8.628281,-0.0650924,0.67024654,2.778387,-3.5134568,-1.083576,0.31953004,-0.081196904,-2.9660227,0.28584045,0.0066477433,958.2154445810461,942.221072685554,891.8592634212489,748000,1012186,0,277.3343804000033,18.560000599994964,7.621375300004729,303.515756300003,56560.742650999935,186
0.28618348,0.01567674,40.406937,4.0406938,719.2982,443.31256,-1387.5225,1386.2654,323.26672,1723.8656,51.111443,1381.0508,320.1152,1719.4395,29.245434,0.97861636,3.2283497,15.654697,-11.730595,-0.040207773,0.6590992,3.7609959,-3.2254786,-1.0895122,0.32790416,0.014516652,-3.4672523,0.41927847,0.006852976,857.1032156105961,959.378482632658,905.8107315602684,752000,1017186,0,276.53090999999404,18.82599389999814,6.877103400009219,302.2340073000014,56863.61032889993,187
0.37375587,0.013077294,41.405006,4.1405005,723.9309,232.58948,-1425.8569,1421.0581,331.57922,1758.6396,70.35482,1426.179,326.92145,1732.6404,68.7717,1.1188706,3.3447146,22.9841,-8.965151,-0.049488395,0.69017863,3.372759,-4.317995,-1.0619743,0.32666272,-0.085689545,-3.0866442,0.40264735,0.0056664296,920.6123551981068,931.1529618191212,919.1900991613351,756000,1022782,0,275.81017520000023,19.447002300003078,8.278805099995225,303.53598259999853,57167.42049499993,188
0.376353,0.013480095,46.9052,4.6905203,993.33887,202.69887,-1389.6046,1385.2655,322.18207,1720.8973,63.45968,1390.9387,318.09055,1720.089,73.21558,0.95698786,3.3557353,23.887661,-9.119783,-0.005281464,0.68497634,3.1885114,-3.481279,-1.0459743,0.30819324,-0.036127746,-3.1416652,0.35537368,0.0057515134,929.8666538527297,953.9777174919766,862.6855902099236,760000,1027782,0,276.1719632000022,19.721238000005542,6.841449599996849,302.7346508000046,57469.33238659993,189
