RF Loss,Z mean train,V Predictions Max,R Predictions Min,Z variance eval,KL Divergence,QF Loss,Policy mu Min,KL Loss,R Predictions Std,Q Predictions Max,Policy log std Std,V Predictions Mean,AverageReturn_all_train_tasks,Policy log std Max,Number of env steps total,V Predictions Min,Log Pis Max,R Predictions Mean,Sample Time (s),Z variance train,Number of rollouts total,Z mean eval,Policy mu Max,(Previous) Eval Time (s),R Predictions Max,Log Pis Mean,Policy log std Mean,Epoch,Epoch Time (s),Policy mu Std,Number of train steps total,Policy Loss,Log Pis Std,VF Loss,Q Predictions Min,Policy log std Min,Total Train Time (s),Log Pis Min,Train Time (s),AverageReturn_all_test_tasks,Policy mu Mean,Q Predictions Std,Q Predictions Mean,V Predictions Std
156.887,1.95853,1946.75,-0.00249682,0.0475514,79.4153823852539,236.93,-3.18101,7.941538333892822,0.00221588,1957.38,0.232424,1296.05,944.248560705,0.0447035,314000,52.2922,11.9476,0.00315707,10.28629335900041,0.0514546,1880,1.56057,3.45042,4.300361160000193,0.0127667,1.49647,-0.563239,30,88.19198949800057,1.1033,62000,-1297.2,3.25845,219.29,-30.3933,-2.05223,2764.4120451929934,-8.67753,73.60533497899996,923.28710792,-0.105375,365.698,1286.48,361.604
161.301,1.69155,1983.99,-0.00251307,0.12126,78.3772964477539,199.404,-2.83711,7.8377299308776855,0.00240008,2004.19,0.249809,1144.29,929.284225329,-0.0298939,324000,24.1797,12.7998,0.00387751,10.101953834000597,0.0253626,1940,1.01435,2.60321,3.969195878999926,0.0108438,0.946864,-0.549634,31,85.87712145900059,1.02179,64000,-1144.28,3.13872,89.1801,27.9124,-2.04072,2850.2340798909945,-7.0534,71.80597174600007,22.0789719718,-0.0574896,390.916,1133.53,387.127
74.5043,1.49753,1800.48,-0.0025759,0.353245,58.45210266113281,304.503,-2.56675,5.845210552215576,0.00204877,1811.52,0.227687,1302.61,953.225325267,0.0240069,334000,148.993,9.9515,0.00271344,10.049520392999511,0.0914239,2000,1.75773,3.45145,3.9144264040000962,0.00939557,1.2272,-0.580139,32,86.50297044199942,1.0435,66000,-1310.85,2.96608,179.669,162.855,-2.08625,2936.8064076629935,-6.77572,72.53902364499982,155.701522442,-0.0965668,332.087,1302.22,327.411
88.5727,2.54719,2420.98,-0.00226597,0.0617269,91.65644836425781,2037.6,-3.19468,9.165644645690918,0.00197683,2401.26,0.222959,1374.73,960.206239911,-0.0406273,344000,233.851,13.611,0.00294645,11.021711148001032,0.227488,2060,2.97983,2.9208,3.984066590999646,0.00820234,2.08734,-0.605558,33,88.12520357900075,1.13981,68000,-1398.94,3.27716,1322.76,195.353,-1.93852,3024.827588544994,-7.65985,73.11942584000008,921.971259661,-0.123855,461.044,1357.43,463.219
206.676,2.04963,2201.35,-0.00180574,0.0343722,75.56560516357422,194.319,-3.20421,7.556560516357422,0.00256669,2195.39,0.215765,1671.3,929.907697746,-0.0324813,354000,91.2627,11.6174,0.00363164,10.353017006000755,0.107535,2120,2.70214,2.71709,3.8803646020000997,0.012724,2.18295,-0.576905,34,88.10750856400091,1.17653,70000,-1667.19,3.3027,92.2075,51.968,-1.77322,3113.0227448599944,-7.47823,73.87412695600005,945.548641514,-0.0537816,298.926,1657.71,293.048
184.641,2.64272,2144.62,-0.00206705,0.0360359,111.63764190673828,478.1,-3.12092,11.163763999938965,0.00273324,2152.06,0.258081,1532.75,949.168471585,0.112334,364000,243.217,13.8651,0.0038631,10.008254397001565,0.0430183,2180,1.60391,2.82645,3.968413026000235,0.0123963,2.02152,-0.562684,35,85.69370188800167,1.14554,72000,-1534.86,3.29352,223.962,245.518,-2.36192,3198.682528309996,-7.65769,71.71703446499987,956.280464198,-0.18688,363.37,1522.72,357.314
171.515,1.01956,1728.83,-0.0018125,0.0275874,49.36488723754883,428.869,-3.23518,4.936488628387451,0.00224252,1725.04,0.224403,1300.55,1034.62303595,-0.0481507,374000,170.711,12.03,0.00312113,10.147571901999981,0.0687487,2240,1.72676,4.33037,3.935020762000022,0.0105536,1.28618,-0.603201,36,86.74161238200031,1.03296,74000,-1303.72,3.07677,154.873,165.591,-1.82141,3285.602702584996,-10.1668,72.65901971800031,991.885863014,-0.0706941,284.853,1291.8,278.431
186.701,1.81568,1675.74,-0.00258419,0.023073,87.5807876586914,216.948,-2.841,8.758078575134277,0.00266276,1676.96,0.272036,1226.14,997.707121956,0.12852,384000,117.85,11.614,0.00343035,9.940660691000176,0.0223118,2300,1.66223,2.59452,4.114258546000201,0.0123199,0.521217,-0.549734,37,86.17724562800049,0.971462,76000,-1226.66,3.10576,77.6703,119.428,-1.98574,3371.6176168129973,-7.8801,72.12232639100012,995.869527741,-0.0890451,331.099,1220.63,324.971
164.757,1.82445,2261.14,-0.00197609,0.0392304,79.71512603759766,206.536,-3.06869,7.971512794494629,0.00260326,2266.68,0.245702,1465.87,942.682186442,0.0177057,394000,187.997,12.5117,0.00320258,10.162298216001545,0.0425095,2360,1.47032,2.67446,3.9524434810000457,0.012773,1.50102,-0.579787,38,87.11710848900157,1.08421,78000,-1463.05,3.39369,133.424,198.042,-1.93352,3458.7209030719987,-8.6724,73.00236679199998,987.067312592,-0.071721,443.423,1453.1,440.63
225.062,1.97773,2006.31,-0.00204623,0.0285694,72.0107192993164,214.69,-3.12342,7.2010722160339355,0.00240496,2016.63,0.250396,1422.24,959.632173434,0.00591242,404000,112.315,12.3186,0.00326732,10.125403541999276,0.0287469,2420,0.971417,3.01507,3.939346917000421,0.0115385,1.25517,-0.579886,39,87.61995585499972,1.05373,80000,-1427.57,3.28892,124.719,117.941,-1.9836,3546.267386603998,-10.1648,73.55520539600002,1003.99281404,-0.074232,365.255,1414.73,355.801
183.021,1.71749,2165.59,-0.00218877,0.061521,64.50398254394531,201.435,-2.53196,6.4503984451293945,0.00199195,2158.35,0.22511,1699.35,919.236785273,0.000524968,414000,408.122,11.2572,0.00273499,10.232046411999363,0.0869592,2480,2.26088,3.0647,3.8663712019997547,0.00798657,2.0186,-0.597618,40,86.26136239899915,1.15333,82000,-1702.71,3.30277,90.6623,444.729,-1.78939,3632.613669131998,-8.36886,72.16294478500004,951.779739427,-0.0583993,320.037,1691.93,312.439
296.876,2.12225,2068.72,-0.00204727,0.0230799,94.29407501220703,251.948,-3.31697,9.429408073425293,0.00245145,2084.78,0.262215,1444.08,990.855303167,0.0289325,424000,219.302,11.4498,0.00429108,10.049566893000247,0.0254294,2540,1.64727,2.67216,3.951917203999983,0.0119242,1.37404,-0.555447,41,86.41655700399997,1.07516,84000,-1443.32,3.24879,138.119,207.366,-2.08217,3719.0776003899978,-11.9295,72.41507290699974,1009.88880824,-0.191959,376.006,1434.02,368.646
211.532,1.6503,2085.44,-0.00233001,0.0255911,66.4390869140625,277.063,-3.06739,6.643908977508545,0.00275617,2102.31,0.249443,1469.61,997.408752961,0.0120589,434000,138.127,10.9457,0.0035958,10.053670082999815,0.0279484,2600,1.77951,2.6401,3.9996705659996223,0.0117801,1.32406,-0.582506,42,86.34318162799946,1.05969,86000,-1471.0,3.23042,184.305,134.646,-2.22921,3805.383572499997,-8.87908,72.28984097900002,1035.66350603,-0.0958694,385.893,1468.12,378.777
266.73,2.0135,2280.29,-0.00206362,0.0298383,79.63748168945312,194.801,-2.67014,7.963748455047607,0.00252873,2272.87,0.26211,1434.82,1083.78625348,-0.0131818,444000,128.414,11.1447,0.00395027,10.284362295999472,0.0952137,2660,2.14662,2.94491,3.963115429000027,0.0129321,1.40729,-0.579782,43,89.36326953399976,1.07285,88000,-1432.68,3.31713,167.416,117.073,-1.96745,3894.7584969579966,-8.04768,75.11579180900026,994.098627997,-0.0464069,422.406,1427.42,417.619
151.096,1.41422,2095.9,-0.00289382,0.0426206,57.114925384521484,316.39,-2.52673,5.711492538452148,0.00239222,2106.01,0.264163,1352.99,1041.86347473,0.207508,454000,121.934,10.4547,0.00312114,10.218036195999048,0.0341689,2720,2.09927,2.57834,3.975530818000152,0.0130109,0.757141,-0.587488,44,87.58787628199843,0.975267,90000,-1354.89,3.07915,147.949,128.825,-1.95077,3982.4077059709953,-10.13,73.39430926799923,1001.28766692,-0.0721972,380.072,1353.2,378.223
297.595,2.11421,2481.41,-0.0023766,0.0443218,91.95561218261719,344.913,-3.20791,9.195561408996582,0.00237473,2473.94,0.256125,1728.59,1016.87940876,0.0949983,464000,187.296,12.1852,0.00375343,10.144446548000815,0.103039,2780,1.36475,2.81199,4.037398004999886,0.0111901,1.97011,-0.570628,45,87.41476179100027,1.1511,92000,-1728.93,3.40451,88.6103,178.877,-1.99554,4069.715607510995,-7.43917,73.23291723799957,1032.31590655,-0.0407989,443.142,1717.66,439.709
117.485,1.1954,2167.2,-0.00285465,0.043742,53.89671325683594,336.335,-2.63019,5.389671325683594,0.00218369,2182.63,0.263313,1344.96,1078.42229331,-0.0145729,474000,163.815,13.1205,0.00291444,9.856675281999742,0.0258417,2840,2.42886,2.6959,3.930920662999597,0.0104729,0.708718,-0.594539,46,86.70300277299884,0.968382,94000,-1349.75,3.03387,163.578,172.697,-2.15271,4156.405735822993,-7.15255,72.9154068279995,1045.30106195,-0.0657745,395.929,1340.21,389.214
232.577,1.57583,2234.34,-0.0023015,0.0300127,72.23395538330078,249.882,-2.70348,7.223395824432373,0.00266278,2231.12,0.244889,1711.27,1064.78099686,0.0266225,484000,184.421,12.9329,0.00346624,10.139685278000798,0.0760831,2900,1.71833,2.78191,3.918742005999775,0.0126478,2.15,-0.598767,47,88.40870740600076,1.14907,96000,-1711.57,3.48827,123.651,163.347,-2.15457,4244.925433184993,-8.10185,74.35028012200019,1053.61698003,-0.0873112,364.895,1699.26,353.404
196.375,1.38076,2152.52,-0.00247086,0.0271046,59.75639343261719,227.497,-2.54721,5.975639343261719,0.00245117,2149.1,0.255384,1630.18,1055.9399344,-0.0871185,494000,177.255,13.1283,0.00333652,10.571347227996739,0.0649294,2960,1.94188,2.80473,4.030519446999278,0.0116927,1.70433,-0.612508,48,89.05239207899649,1.09322,98000,-1620.3,3.17895,203.946,168.8,-2.29309,4334.02479588499,-8.47258,74.45052540400047,1028.75735437,-0.0297358,353.179,1618.3,345.454
282.472,1.89789,2000.8,-0.0029095,0.0362195,83.1620864868164,225.464,-3.1756,8.316208839416504,0.00251077,1998.87,0.280607,1472.23,1077.59617548,0.0356025,504000,165.166,12.512,0.0039057,10.31984648100024,0.036585,3020,1.72385,4.26884,4.0782572979996985,0.0114526,1.48389,-0.586202,49,88.95570695599963,1.06519,100000,-1469.14,3.18224,101.085,152.79,-2.23888,4422.92223433299,-6.78391,74.55760317699969,1053.37660409,-0.12714,389.451,1455.34,385.846
