Itr,LossBefore,LossAfter,train-NumTrajs,train-EnvExecTime,Time,train-PolicyExecTime,train-MaxReturn,Time-Sampling,train-StdReturn,Time-Optimization,ItrTime,train-AverageReturn,Time-SampleProc,train-AverageDiscountedReturn,train-MinReturn,n_timesteps,train-AveragePolicyStd
797,0.0036800415,-0.007747809,268,10.206446170806885,11353.901255130768,0.8572266101837158,792.0572178854004,11.480138063430786,132.43022087026952,2.2195286750793457,13.96585488319397,417.5960187731638,0.26035594940185547,178.91771199905054,110.29212764430906,31920000,0.21983339
798,0.0012468926,-0.007598076,265,10.47970461845398,11368.2199447155,0.8699333667755127,814.004370579623,11.768658876419067,137.62771236662704,2.2653911113739014,14.298177480697632,422.59709007318895,0.2583017349243164,179.88334140315615,116.68945250981804,31960000,0.21961005
799,0.001047568,-0.006239155,263,10.37990117073059,11382.427323818207,0.870835542678833,773.8473294278257,11.666422128677368,129.1009733035834,2.2559421062469482,14.18843150138855,418.19943430409404,0.26019287109375,177.6280233238108,105.81163614336555,32000000,0.2193497
800,0.0014862635,-0.006882154,268,10.3140869140625,11396.566688776016,0.8648643493652344,783.3917772980783,11.595858812332153,142.6358624041674,2.2579891681671143,14.119081974029541,417.27828594377434,0.2592151165008545,178.85992059528263,156.1453279966735,32040000,0.21925263
801,0.0006296441,-0.007920977,261,10.520276069641113,11410.984456300735,0.8864283561706543,732.4813689252733,11.828921794891357,132.17692414635962,2.299708127975464,14.39217472076416,427.58492837948245,0.25774526596069336,181.21170698130112,22.831367029118407,32080000,0.21895069
802,0.0018580839,-0.007820255,258,10.07869291305542,11424.873266935349,0.8494341373443604,820.8064085517614,11.337724208831787,136.95274653028153,2.2667806148529053,13.868870735168457,442.73559905135534,0.25856518745422363,185.30766082944922,11.039887159014064,32120000,0.21874052
803,0.0015264272,-0.0070517994,256,10.35716199874878,11439.075484275818,0.8698441982269287,737.3506769332485,11.640559196472168,128.44771526408007,2.2819721698760986,14.181664943695068,436.29276498658874,0.2534818649291992,182.0516801268125,17.94499688167427,32160000,0.21860577
804,0.0015261419,-0.007082476,254,10.29939317703247,11453.19018626213,0.8663411140441895,767.5435904595073,11.578262567520142,124.15819187589358,2.253230333328247,14.09501576423645,443.2649701419539,0.25774288177490234,185.22605540306088,177.136718314855,32200000,0.21838355
805,0.00043624936,-0.007245202,262,10.340254068374634,11467.346300125122,0.8596408367156982,811.3073943595111,11.614024877548218,131.59255610452564,2.256500720977783,14.135454416275024,428.0611070396614,0.2590205669403076,181.07241589663562,132.89101539084936,32240000,0.2180937
806,0.0017344102,-0.006926768,263,10.469935417175293,11481.670919656754,0.8786814212799072,771.6667840814677,11.76639461517334,128.85676785338134,2.272273540496826,14.303730010986328,426.41395933640086,0.2592744827270508,180.96046555906662,76.87404704655431,32280000,0.2175398
807,0.0014461875,-0.006535451,253,10.425052881240845,11495.913227319717,0.8671138286590576,813.3550289845651,11.710216760635376,137.6768890142893,2.2497894763946533,14.221301794052124,457.5062551749815,0.2555561065673828,188.62156272048014,72.03784413465846,32320000,0.21700335
808,0.0023587153,-0.006735724,260,10.31314992904663,11510.050295591354,0.8693041801452637,771.3079611265337,11.598601579666138,136.08909010975836,2.2437169551849365,14.116670846939087,436.28030773168865,0.2684032917022705,183.10682956004987,43.270365760909,32360000,0.21639796
809,0.0010882184,-0.00577107,255,10.481390237808228,11524.408322572708,0.8722844123840332,771.9230945554498,11.769075393676758,132.7153913647695,2.294344663619995,14.33724331855774,446.6774448448241,0.2680366039276123,186.2148664366053,145.4287363665062,32400000,0.21579306
810,0.0017534647,-0.0054660435,254,10.614065170288086,11538.956799030304,0.8953492641448975,741.2464118221953,11.929287672042847,143.17243261104983,2.335400342941284,14.527823448181152,441.2833383117802,0.25729942321777344,182.33383691507143,50.144359310840706,32440000,0.21522424
811,0.0018546864,-0.0076478333,260,10.423140287399292,11553.210990667343,0.8760175704956055,800.5716461198109,11.717396020889282,133.95643488574575,2.251220226287842,14.233510971069336,439.3233606248308,0.2590751647949219,184.25674034510357,21.598367026006688,32480000,0.21480125
