KL Divergence,R Predictions Std,Log Pis Std,Q Predictions Max,Policy mu Min,Number of rollouts total,Sample Time (s),Policy mu Max,AverageReturn_all_train_tasks,Q Predictions Min,RF Loss,V Predictions Min,Policy mu Mean,V Predictions Mean,Epoch Time (s),V Predictions Max,Log Pis Max,R Predictions Max,Q Predictions Std,(Previous) Eval Time (s),Z mean train,Total Train Time (s),KL Loss,R Predictions Mean,Number of train steps total,Train Time (s),Policy log std Std,Z variance train,Policy Loss,Policy mu Std,Z variance eval,QF Loss,Q Predictions Mean,Log Pis Min,Number of env steps total,V Predictions Std,R Predictions Min,Policy log std Mean,Epoch,Policy log std Max,Policy log std Min,Log Pis Mean,VF Loss,AverageReturn_all_test_tasks,Z mean eval
157.74342346191406,0.00102006,3.17956,1526.08,-5.28545,38731,4.860192642008769,5.20871,617.473170629,-66.9364,270.547,-91.8763,0.320156,1011.88,146.61915218702052,1521.5,29.5715,0.00397261,273.459,18.064479616004974,0.576103,95995.22579789265,15.77434253692627,0.00128367,1300000,123.69447992900677,0.272685,0.00214858,-1013.4,0.838576,0.0012342,616.415,1008.35,-9.5475,2680000,267.615,-0.00154735,-0.734463,649,0.305117,-2.88317,0.603594,103.656,618.019005683,0.743745
183.3056182861328,0.00113165,3.14296,1808.38,-3.98377,38778,4.983260214037728,4.65162,608.910544958,-115.146,276.24,-61.4821,0.348957,1154.33,147.49613863303966,1796.01,26.1924,0.00641831,279.162,17.99426249800308,1.23272,96143.30769248767,18.330562591552734,0.00121878,1302000,124.51861592099885,0.281849,0.00118235,-1153.39,0.868668,0.00143797,778.551,1149.47,-9.10146,2684000,265.552,-0.00155067,-0.787532,650,0.28626,-2.84381,1.12139,167.355,595.618554549,0.98274
172.85964965820312,0.00109887,3.2192,1572.87,-7.13655,38821,4.793998686014675,6.26704,615.114240419,-43.4918,241.511,-42.6077,0.320604,990.316,147.59679889101244,1583.09,53.4965,0.00449366,278.691,18.584176022995962,0.669704,96290.68327907167,17.285964965820312,0.00129067,1304000,124.2186241820018,0.281615,0.00152979,-988.726,0.858517,0.00174035,656.918,983.547,-9.40331,2688000,269.333,-0.00165972,-0.747279,651,0.344983,-2.87605,0.792172,175.204,616.914266323,0.557366
159.05101013183594,0.00107114,3.30676,1584.4,-4.41477,38870,4.8054001010459615,4.35449,615.891284869,-31.9411,252.857,-19.3963,0.319227,1033.78,146.7668398860551,1579.44,36.295,0.00530551,273.947,18.36748340500344,0.605402,96437.42754351471,15.90510082244873,0.00118556,1306000,123.5939563800057,0.27845,0.00229272,-1032.86,0.859606,0.00169661,607.948,1027.37,-8.61957,2692000,265.801,-0.00251776,-0.791333,652,0.164418,-3.18835,0.9852,126.59,606.018377494,0.903678
160.68470764160156,0.0011054,3.36894,1812.34,-6.643,38914,4.847498721937882,6.51591,600.7595369,-115.697,253.837,-6.61282,0.334992,1161.2,147.00111015494622,1832.68,36.2299,0.00632076,284.138,18.349418462006724,0.583514,96584.19561974266,16.068471908569336,0.00121766,1308000,123.80419297100161,0.27401,0.00261171,-1160.9,0.861727,0.00168488,887.711,1153.48,-9.60223,2696000,271.689,-0.00191507,-0.787012,653,0.206376,-3.11672,1.01062,160.947,611.867847796,0.691698
156.4078826904297,0.00110438,3.49655,1804.49,-5.28965,38958,4.698953683997388,7.47334,621.852716557,-24.8496,254.829,-30.8877,0.322731,1150.67,147.01378987598582,1810.6,38.8963,0.00535032,302.52,18.121288640992134,1.04914,96731.50787380165,15.640788078308105,0.00130824,1310000,124.1935475509963,0.269596,0.00188504,-1151.0,0.888171,0.00198827,685.979,1143.48,-11.2767,2700000,296.215,-0.00135513,-0.774511,654,0.196473,-2.86608,1.07323,201.221,625.219080137,0.695047
183.77537536621094,0.0011106,3.30484,1708.42,-4.84393,39001,4.968136566982139,6.02449,607.171043461,-66.5794,255.661,-26.2247,0.32076,1105.61,147.34044104198983,1695.2,34.9333,0.00635106,311.082,18.424221331006265,0.807607,96878.52644713366,18.377538681030273,0.00122912,1312000,123.94808314400143,0.289109,0.00260297,-1104.8,0.893347,0.00184734,591.187,1097.94,-8.64284,2704000,295.56,-0.00205327,-0.773005,655,0.422168,-2.88654,1.11939,188.381,615.307677598,0.558882
160.13853454589844,0.00110577,3.49114,1719.67,-6.07188,39044,4.909540116001153,5.32815,607.795586246,-20.9547,255.134,-97.3661,0.299248,1097.64,148.25329340698954,1708.77,45.706,0.00544769,278.067,18.107066635988303,0.673789,97026.85306275067,16.013853073120117,0.00126641,1314000,125.23668665500009,0.281901,0.00186617,-1098.69,0.871897,0.00203028,693.82,1090.7,-8.11018,2708000,268.475,-0.00135154,-0.763927,656,0.245576,-3.12015,0.905695,257.336,613.365344804,0.538107
158.48231506347656,0.00102544,3.21727,1573.0,-5.4582,39091,4.923205202969257,7.1428,614.776799478,-93.2022,221.978,-22.5942,0.267745,992.843,147.92064172598475,1573.19,33.4731,0.00509767,275.631,18.184397872013506,0.589495,97174.77388796663,15.848231315612793,0.0012767,1316000,124.81303865100199,0.276079,0.00151319,-995.356,0.860657,0.00161095,772.061,989.53,-7.79608,2712000,266.017,-0.00140294,-0.758301,657,0.281505,-3.29368,0.705988,177.233,613.161055292,0.671637
167.85610961914062,0.00105629,3.4079,1513.04,-5.89584,39134,4.866207084996859,5.37148,607.576681253,-32.1529,263.195,-3.1058,0.319736,991.82,146.3697126229963,1512.53,41.8388,0.00449594,289.45,18.18897574499715,0.83888,97320.77831666765,16.785612106323242,0.00120851,1318000,123.3145297930023,0.287309,0.00254814,-993.22,0.87305,0.00200128,617.241,987.296,-8.09609,2716000,278.904,-0.00208556,-0.780817,658,1.10282,-3.31889,1.04039,160.51,615.894524474,0.705856
