V Predictions Mean,Epoch,Q Predictions Mean,KL Divergence,R Predictions Max,Policy mu Std,AverageReturn_all_test_tasks,KL Loss,Policy log std Min,V Predictions Min,R Predictions Std,QF Loss,VF Loss,Policy Loss,R Predictions Min,V Predictions Max,Epoch Time (s),Policy mu Min,Z variance train,Log Pis Std,Z variance eval,Z mean train,Q Predictions Max,Z mean eval,Policy mu Max,Q Predictions Std,Policy log std Max,Log Pis Min,Q Predictions Min,Number of env steps total,(Previous) Eval Time (s),RF Loss,Total Train Time (s),Log Pis Mean,Policy log std Mean,Policy log std Std,Log Pis Max,Number of rollouts total,R Predictions Mean,Train Time (s),Policy mu Mean,V Predictions Std,AverageReturn_all_train_tasks,Number of train steps total,Sample Time (s)
458.443,36,430.279,163.85198974609375,0.00428762,0.821477,197.664790429,16.38519859313965,-2.68399,-66.2069,0.00202833,773.895,218.775,-461.029,-0.0066856,653.147,147.67987288499899,-4.68979,0.00226934,4.7505,0.00184643,0.339833,654.818,0.66396,4.92759,171.34,0.0596748,-8.52077,-89.4183,228000,20.84256029899916,27.9246,5552.9033618269805,0.314854,-0.544129,0.289939,32.1996,11670,0.000423681,122.11187624599916,0.520719,144.115,187.26980951,74000,4.72543634000067
485.585,37,454.114,154.27783203125,0.00457565,0.769819,202.144971906,15.427783012390137,-2.587,-38.7385,0.00200237,615.277,230.268,-477.539,-0.00656073,632.298,145.80363070900057,-3.89006,0.00227948,4.01535,0.00247933,0.470934,628.388,0.346827,4.39735,165.714,0.20313,-8.49152,-54.3493,232000,20.07710055700045,45.2555,5699.800298940983,0.095796,-0.558253,0.28963,33.1259,11718,0.000394137,120.93135873000028,0.495374,138.936,187.963184742,76000,4.795171421999839
443.886,38,420.713,183.00985717773438,0.00451231,0.797377,195.608770662,18.30098533630371,-2.92021,-57.3554,0.0020292,996.745,182.896,-445.126,-0.00639901,580.294,147.6830213250014,-3.72904,0.00291386,4.07289,0.00173827,0.480927,588.54,0.610703,5.41212,164.625,0.231799,-8.89007,-79.7252,236000,21.17064958500123,38.4375,5846.941841990987,0.309073,-0.588718,0.330686,29.8288,11764,0.00043251,121.43503875900024,0.499422,138.26,195.517014731,78000,5.077332980999927
470.916,39,442.735,183.01730346679688,0.00492925,0.813116,196.417268395,18.30173110961914,-2.92559,-47.853,0.00202331,771.304,172.639,-472.173,-0.00660007,637.341,146.9568108400017,-6.8498,0.00133443,4.62647,0.00115988,1.16157,641.669,0.686656,6.15261,174.706,0.119665,-8.29763,-70.1569,240000,20.629668737999964,40.0689,5994.007878178987,0.213579,-0.558884,0.294261,47.036,11814,0.000427504,121.3452829960006,0.493917,143.661,203.677875749,80000,4.981859106001139
450.121,40,429.893,172.28822326660156,0.00447667,0.816298,204.189974857,17.228822708129883,-3.00696,-37.3865,0.00205221,795.341,213.383,-452.137,-0.00621388,619.826,147.0379112089995,-4.35178,0.00198328,4.18611,0.000803176,0.687669,625.095,1.02828,4.87981,164.238,0.156968,-10.6467,-69.6461,244000,20.7393890000003,36.0643,6140.5093807729845,0.198477,-0.571892,0.314051,35.8108,11870,0.000342641,121.56836048399964,0.447412,144.674,184.403742906,82000,4.730161724999562
445.138,41,425.51,178.97366333007812,0.00438082,0.811887,183.32441655,17.897367477416992,-2.87306,-82.5637,0.00214165,800.005,206.812,-448.413,-0.00711223,636.656,146.20550876299785,-5.39105,0.00162874,4.16061,0.00175548,0.67295,635.845,0.582892,4.83067,165.162,0.189544,-9.91695,-98.3495,248000,20.20377163199919,45.0491,6287.099917186979,-0.0433566,-0.556814,0.299431,32.9604,11920,0.000142442,121.17985423800019,0.386339,140.864,181.54269645,84000,4.821882892998474
431.547,42,410.92,192.0206756591797,0.00507735,0.814934,192.869378359,19.202068328857422,-2.9322,-50.5328,0.00214822,822.627,258.55,-433.279,-0.00654504,615.633,145.7184192820023,-4.05168,0.00230164,4.23178,0.00240968,0.18496,629.668,0.553388,4.51195,162.246,0.148302,-8.2994,-56.5353,252000,20.589303693999682,50.8476,6432.924966399982,0.433623,-0.57082,0.300038,27.1862,11970,0.000156126,120.4069772369985,0.520137,139.529,182.266923145,86000,4.722138351004105
445.591,43,418.078,162.09242248535156,0.00501881,0.786042,195.11933766,16.20924186706543,-2.53036,-69.9247,0.00211801,634.572,246.904,-439.993,-0.00655402,667.058,147.68285770900184,-4.46879,0.00501477,4.20677,0.00160063,0.426315,654.268,0.865114,4.72896,165.51,0.0866595,-9.52847,-79.4188,256000,20.6967604700003,39.8807,6580.212181638983,0.45035,-0.591639,0.292851,33.7462,12021,0.000181553,121.81975907600099,0.552304,144.194,197.713287366,88000,5.166338163000546
418.942,44,399.131,181.99024963378906,0.00493124,0.812322,193.112770176,18.199026107788086,-2.7289,-49.473,0.0021674,695.484,237.434,-424.857,-0.00642411,587.334,146.83255154099788,-3.92421,0.00221718,4.27426,0.00309574,0.924059,594.153,0.576818,4.81325,162.698,0.1995,-7.89717,-67.1198,260000,20.30173810499946,49.1352,6726.799552174984,0.37609,-0.576504,0.318382,34.7453,12075,0.000286892,121.46891086299911,0.49379,136.132,195.643584692,90000,5.0619025729993155
444.132,45,417.551,173.55455017089844,0.00407081,0.786279,173.258165821,17.35545539855957,-2.66282,-33.7171,0.00217569,715.446,275.626,-436.619,-0.00656063,682.44,146.71213698300016,-3.98654,0.00279472,4.09009,0.0020119,0.740834,693.634,0.641439,4.55831,161.882,0.324021,-8.52743,-60.2772,264000,20.05704706100005,49.3195,6874.112893906986,0.0339173,-0.549805,0.288546,25.3411,12120,0.000245071,121.80145338299917,0.473547,139.405,204.363504134,92000,4.853636539000945
