Epoch,VF Loss,Sample Time (s),Q Predictions Std,R Predictions Min,V Predictions Max,Z variance train,Policy mu Mean,Log Pis Max,Policy log std Min,V Predictions Mean,Log Pis Mean,AverageReturn_all_test_tasks,Total Train Time (s),Policy log std Max,Number of rollouts total,R Predictions Mean,Log Pis Std,Number of env steps total,Policy mu Max,Q Predictions Mean,R Predictions Max,Z mean eval,Policy log std Mean,KL Divergence,Z mean train,Policy log std Std,Z variance eval,Policy mu Min,R Predictions Std,Log Pis Min,Q Predictions Max,Q Predictions Min,V Predictions Std,KL Loss,(Previous) Eval Time (s),V Predictions Min,QF Loss,Number of train steps total,AverageReturn_all_train_tasks,Policy mu Std,Epoch Time (s),RF Loss,Policy Loss,Train Time (s)
33,9.26935,4.1234703280006215,117.65,0.00503217,79.7379,0.591447,0.00118547,9.82337,-2.0425,-37.4962,-2.38341,-52.4847251091,5938.236094588996,0.079821,3720,0.00960079,1.96915,336000,2.5536,-42.6252,0.0149948,0.0656264,-0.404302,47.98451614379883,0.111138,0.218478,0.653635,-2.48335,0.00169266,-10.9106,77.404,-724.578,117.56,4.798451900482178,40.470888650000234,-732.029,22.1536,68000,-53.0825003371,0.559665,168.69447862700054,36.0033,36.4041,124.10011964899968
34,5.08224,4.164722798001094,111.359,0.00474292,88.2608,0.758623,0.00321074,12.5468,-2.05918,-10.1443,-2.57379,-54.5347701388,6106.4124229229965,0.159709,3800,0.00957461,1.87008,340000,2.4499,-15.4311,0.0148229,0.113504,-0.370117,51.69557571411133,0.445043,0.212599,0.523189,-2.61734,0.00176648,-8.27607,86.8969,-875.796,110.347,5.169557571411133,40.08820517299955,-872.087,17.0881,70000,-51.06275054,0.5196,168.20155856600104,22.834,9.71523,123.9486305950004
35,7.30744,4.193602807001298,198.657,0.00559235,91.9612,0.770316,0.0108991,8.56032,-2.22677,-53.6155,-2.45844,-60.9682798914,6275.388139932998,0.128228,3880,0.00979107,2.06814,344000,2.70521,-60.2622,0.0156473,0.17404,-0.380049,59.4224853515625,0.463852,0.222676,0.619204,-2.48551,0.00166769,-9.25442,89.7004,-1181.8,196.748,5.942248821258545,40.06363106400022,-1158.88,22.7627,72000,-53.8198732805,0.557333,168.46721620300195,54.362,53.7388,124.20998233200044
36,12.6559,4.1400068330003705,133.32,0.00487135,101.025,0.912056,-0.0144132,15.3296,-2.17155,-87.2058,-1.86082,-51.0783226645,6442.466863550996,0.12181,3960,0.0099784,2.32559,348000,2.57594,-94.8157,0.0149172,0.097309,-0.425508,49.658206939697266,1.16336,0.243744,0.580416,-2.90443,0.00159884,-9.10571,99.0876,-752.312,131.387,4.965820789337158,40.57296273499924,-760.713,29.4339,74000,-49.9947480714,0.651015,168.10620630099947,51.3516,87.9317,123.39323673299987
37,9.42038,4.171100970000225,199.247,0.00547674,102.077,0.531026,-0.0182217,13.4768,-2.06141,-91.7586,-2.02259,-53.0719062242,6612.346945602996,0.0946403,4040,0.00972208,2.35285,352000,3.0377,-97.7566,0.0159359,0.197038,-0.396544,52.59912872314453,0.29734,0.236745,0.562235,-2.82929,0.00166485,-9.63239,98.2607,-1154.87,198.836,5.259912967681885,39.54587292500037,-1159.03,25.4844,76000,-49.19016451,0.631324,168.77794776200062,47.8074,91.1589,125.06097386700003
38,10.1147,4.260151623999263,148.809,0.00537123,90.3909,0.435423,0.0228596,10.1465,-1.97108,-38.4262,-2.47454,-52.8822784059,6781.143623182996,0.23024,4120,0.00961331,1.9828,356000,2.32292,-45.2361,0.0142597,0.13099,-0.389607,44.76522445678711,0.50008,0.214167,0.685397,-2.60145,0.00165902,-7.63021,88.2598,-847.664,147.266,4.476522445678711,40.64861768799983,-836.574,23.8983,78000,-45.6940036583,0.536926,168.7302697719988,32.4782,39.2415,123.8215004599997
39,9.69143,4.169479251998382,175.911,0.00430941,88.6808,0.699573,-0.00612808,18.8951,-2.17878,-126.693,-1.49674,-46.7918904038,6949.513878265994,0.132525,4200,0.00989306,2.40525,360000,3.5757,-134.606,0.0143056,0.111312,-0.433109,54.41096115112305,0.704864,0.244509,0.584572,-2.76997,0.00167744,-7.27067,87.5731,-1126.5,174.548,5.441096305847168,40.71521821500028,-1115.16,31.9477,80000,-44.9809945078,0.700426,168.67791137099903,74.3461,127.047,123.79321390400037
40,7.36657,4.0863447729989275,122.745,0.00430403,103.87,0.519334,0.00132538,14.5975,-2.15656,-20.1916,-2.44058,-57.5526156664,7118.337347158993,0.145573,4280,0.00960995,1.9199,364000,3.0765,-25.6486,0.0141199,0.0656664,-0.392138,48.39244842529297,0.287011,0.226015,0.51028,-2.36101,0.00159959,-10.8696,100.396,-758.756,121.628,4.839244842529297,40.408135384999696,-758.247,19.9983,82000,-50.1920288879,0.537919,168.80960768299883,27.8926,19.5868,124.31512752500021
41,9.05611,4.123388707997947,158.293,0.00531034,68.8181,0.591407,0.00263612,18.7194,-2.14917,-126.295,-1.43288,-50.8768198497,7287.221438521987,0.196837,4360,0.00970289,2.48167,368000,3.47414,-134.275,0.0148619,0.0723595,-0.441168,48.246490478515625,0.23741,0.247421,0.488172,-2.78572,0.00158952,-7.5977,67.5217,-1112.98,156.45,4.824649333953857,40.42276824600049,-1108.2,34.9696,84000,-50.2464373451,0.711828,169.02775695699893,43.3914,125.537,124.4816000030005
42,7.97776,4.120489520993942,90.6188,0.00506304,74.4655,0.491369,-0.000431011,15.2155,-2.14195,-26.1651,-2.08453,-53.6345576856,7455.737108745983,0.175616,4440,0.00972256,2.075,372000,2.43655,-33.7068,0.0145382,0.176849,-0.424424,39.333839416503906,0.0801829,0.232225,0.744657,-2.95118,0.00157443,-9.3398,72.6915,-760.963,88.2145,3.9333839416503906,40.27948250699956,-755.501,26.7784,86000,-46.780784959,0.608308,168.7910020869931,43.9441,26.7256,124.3910300589996
