Policy log std Std,Z mean eval,Policy mu Max,QF Loss,AverageReturn_all_train_tasks,Policy mu Std,R Predictions Min,Policy mu Min,AverageReturn_all_test_tasks,RF Loss,Q Predictions Min,Train Time (s),Log Pis Max,V Predictions Max,Log Pis Mean,V Predictions Mean,Policy log std Min,V Predictions Min,Policy log std Mean,Number of env steps total,Policy Loss,Policy mu Mean,(Previous) Eval Time (s),KL Loss,Total Train Time (s),Number of rollouts total,Epoch Time (s),Epoch,Log Pis Std,Q Predictions Std,Q Predictions Max,Sample Time (s),Policy log std Max,Z variance train,Z mean train,Log Pis Min,Z variance eval,R Predictions Std,R Predictions Max,Q Predictions Mean,R Predictions Mean,V Predictions Std,KL Divergence,Number of train steps total,VF Loss
0.248776,3.98614,6.14741,7809.22,662.141583943,1.13351,-0.0560979,-6.01026,525.500520135,589.438,-7.11873,372.4724987410009,72.3556,5826.94,4.19088,2099.43,-2.45022,6.19186,-0.510713,600000,-2107.79,0.222911,67.66895845399995,187.6788787841797,45378.322229220015,21921,447.2388846069807,99,10.5899,1385.56,5801.02,7.097427411979879,0.19359,0.0127985,3.32552,-17.404,0.016116,0.0408357,0.349291,2041.47,0.0325365,1392.89,1876.788818359375,400000,3127.34
0.248929,0.858627,5.63664,8451.26,603.172203539,1.07737,-0.0701586,-6.51598,582.744839369,613.431,-22.2857,370.9235509989958,70.7428,4360.26,2.83815,2081.68,-2.88901,19.4266,-0.478426,604000,-2061.59,0.213353,67.00466274599603,97.64363861083984,45825.447894244004,22074,445.2255138869805,100,10.1535,1220.72,4285.12,7.297300141988671,0.24478,0.0198209,4.42201,-16.4072,0.047736,0.0436397,0.367982,1980.12,0.0363749,1224.77,976.4363403320312,404000,3604.9
0.2237,8.8505,6.01671,6345.04,489.655176162,0.963378,-0.0704104,-6.07567,492.774383902,551.092,2.31951,371.9692299870003,51.8853,3187.84,-0.0710658,1566.59,-2.10411,11.1871,-0.430608,608000,-1562.45,0.154485,68.90604492299462,88.35997772216797,46278.299368957,22236,448.157072132999,101,7.95425,813.664,3179.12,7.281797223004105,0.436967,0.0154406,0.915398,-15.041,4.18696e-09,0.0425705,0.4224,1536.83,0.0317448,804.963,883.5997314453125,408000,2331.14
0.168911,2.38659,4.67439,8928.59,748.491765572,1.06095,-0.0688923,-3.59848,771.156493674,558.392,-9.17224,370.2656691289958,34.479,2818.54,2.04888,1414.9,-1.19203,-6.75267,-0.392587,612000,-1414.02,0.195586,73.60147827900073,323.7349548339844,46732.81096618701,22341,451.560603383994,102,6.15071,736.734,2807.1,7.6934559759974945,0.0782042,3.06228e-09,6.94666,-19.3599,3.09648e-09,0.0460717,0.41428,1381.61,0.0328883,734.057,3237.349609375,412000,1337.69
0.218362,0.839198,3.73161,3848.5,938.927434534,1.00389,-0.0351777,-3.70525,947.856181707,572.29,-37.6395,368.3622576550042,44.8246,3019.32,0.88409,1634.03,-1.58076,15.2475,-0.435144,616000,-1631.91,0.149383,76.55424542199762,77.87423706054688,47177.74064345201,22424,452.71228478800185,103,8.1404,893.512,2993.11,7.795781711000018,0.0713062,3.81004e-09,4.88269,-14.7264,3.05476e-09,0.0380843,0.367791,1587.11,0.0337062,882.271,778.7423706054688,416000,973.24
0.22244,0.587902,4.81793,3101.7,928.846378799,0.981599,-0.082259,-4.61028,915.458342527,562.811,2.42419,371.34956725000666,43.5878,2772.71,0.54768,1628.22,-1.61693,16.6805,-0.451256,620000,-1631.91,0.164867,68.77155869499984,59.537574768066406,47625.440250517015,22505,447.87262043802184,104,8.17333,833.036,2769.83,7.751494493015343,0.0943011,2.56696e-09,1.11408,-13.8862,1.87736e-08,0.040463,0.423439,1589.95,0.0340189,820.11,595.375732421875,420000,1215.96
0.231428,4.31293,4.16096,3073.86,964.090476859,0.97833,-0.0670922,-4.90314,950.050516048,555.997,-18.1793,369.9461768170004,49.0573,2778.79,0.502425,1690.44,-1.95551,19.1433,-0.450251,624000,-1692.7,0.128688,68.59985864799819,71.58919525146484,48066.79405579904,22587,445.89369221201196,105,8.67052,851.118,2784.01,7.347656747013389,0.148237,1.60853e-08,2.33832,-16.0668,7.15274e-09,0.0371059,0.367683,1647.89,0.0314845,839.886,715.8919067382812,424000,1004.56
0.231761,0.70802,5.16205,3082.76,958.91902108,0.982384,-0.0859809,-4.52681,957.207110135,602.924,-3.29455,372.2458814529964,68.9318,3292.37,0.429998,1725.27,-1.82003,23.5374,-0.452073,628000,-1724.6,0.150046,64.06120787099644,82.49826049804688,48509.36951314802,22668,443.65158357499604,106,9.25952,895.481,3245.31,7.344494251003198,0.129615,4.38237e-09,2.03896,-16.8709,1.21991e-08,0.036996,0.356449,1669.67,0.0311511,882.926,824.9826049804688,428000,1245.97
0.236725,0.87324,8.30906,3528.6,935.741115776,0.976203,-0.0864029,-4.93908,929.382849697,592.545,10.5469,373.09087161799835,54.4585,2869.47,0.393422,1793.28,-2.04931,31.5016,-0.448599,632000,-1793.24,0.134531,62.986306687998876,65.78984069824219,48957.49144010102,22752,443.51087304900284,107,9.09041,861.586,2844.05,7.433694743005617,0.111626,5.27145e-09,5.14129,-17.4802,4.83103e-09,0.0410379,0.336818,1749.25,0.0306532,847.213,657.8983764648438,432000,1544.21
0.224942,1.86541,6.0859,3566.56,856.814903538,0.967938,-0.0697964,-5.05338,748.0386719,555.557,11.7905,372.2182139669967,57.2032,3974.92,0.0171787,1752.27,-2.0334,-14.0444,-0.441228,636000,-1754.44,0.121389,67.59797283899388,60.82542037963867,49408.19057405101,22839,447.19970025198563,108,8.89677,811.475,3877.33,7.3835134459950496,0.101629,2.34906e-09,3.39298,-16.6599,1.46914e-08,0.0414352,0.378836,1723.24,0.0297854,796.937,608.2542114257812,436000,1218.82
