Q Predictions Min,V Predictions Max,Log Pis Max,Policy log std Std,Log Pis Mean,Log Pis Min,V Predictions Min,Z mean train,V Predictions Std,Q Predictions Max,Log Pis Std,Number of rollouts total,R Predictions Std,VF Loss,KL Divergence,Q Predictions Std,QF Loss,Number of train steps total,Policy Loss,Policy mu Mean,(Previous) Eval Time (s),Z variance eval,Sample Time (s),Total Train Time (s),Train Time (s),R Predictions Max,Epoch,R Predictions Mean,R Predictions Min,Policy mu Std,Q Predictions Mean,Z variance train,AverageReturn_all_test_tasks,RF Loss,V Predictions Mean,Policy mu Min,Policy log std Mean,Policy mu Max,Policy log std Max,KL Loss,AverageReturn_all_train_tasks,Epoch Time (s),Policy log std Min,Z mean eval,Number of env steps total
-3491.54,-32.2065,9.84757,0.138141,-1.2067,-10.3423,-3514.77,0.350251,532.759,-22.8358,2.51593,8400,0.00175499,217.139,60.47137451171875,533.012,2709.13,37000,999.157,-0.0293519,33.8983395639807,0.142096,7.2448246497660875,2512.021442788653,22.99101502262056,0.00391243,36,-0.00154931,-0.00736158,0.740859,-1006.41,0.605517,-464.40185701,374.801,-999.543,-2.78255,-0.604211,2.94641,-0.0687529,302.35687255859375,-403.917251859,64.13417923636734,-1.13373,0.453694,570000
-4713.68,-65.8354,10.2345,0.14259,-1.34735,-12.573,-4673.65,0.334713,547.325,-86.9816,2.53779,8600,0.00152538,185.949,58.52604293823242,550.292,2596.66,38000,916.946,0.0332514,33.80484215263277,0.146069,7.282996869646013,2575.818665268831,23.244478235021234,0.00303345,37,-0.00155434,-0.00559078,0.713573,-923.545,0.603992,-480.782125968,355.522,-918.595,-2.77557,-0.626575,2.85076,-0.0559785,292.6302185058594,-395.492588827,64.33231725730002,-1.14209,0.383033,580000
-3776.57,-8.20167,11.5897,0.140965,-1.44344,-10.4709,-3747.31,0.332279,497.736,-9.6627,2.45555,8800,0.00194577,298.379,67.16719818115234,496.005,2247.77,39000,832.735,-0.0108724,33.269911400042474,0.158648,7.1978064412251115,2639.33556981571,23.02745383605361,0.00440594,38,-0.00173336,-0.00688973,0.691728,-838.38,0.673152,-475.995936676,304.58,-838.891,-2.79473,-0.630613,2.49611,-0.146911,335.83599853515625,-426.574163194,63.495171677321196,-1.1516,0.416346,590000
-6564.22,-131.729,10.2175,0.138796,-1.53537,-11.2381,-6499.51,0.351408,562.26,-153.73,2.35032,9000,0.00143391,361.642,61.19838333129883,567.223,2587.47,40000,989.807,-0.0527937,33.29169307090342,0.14471,7.152407950721681,2703.9457930400968,22.966543095186353,0.00400461,39,-0.00147248,-0.00527255,0.683758,-993.503,0.63784,-442.64674997,399.651,-978.245,-2.94308,-0.626418,2.80948,-0.15191,305.9919128417969,-391.415273864,63.410644116811454,-1.137,0.410362,600000
-4294.04,-26.2637,11.1293,0.141649,-1.25372,-12.9808,-4234.07,0.368792,554.359,-34.662,2.64883,9200,0.00176306,266.4,67.90027618408203,558.091,3277.39,41000,1121.46,-0.0023444,34.49150279536843,0.165056,7.377240224741399,2768.169901416637,23.043941739946604,0.00386542,40,-0.00159569,-0.00844833,0.738815,-1129.82,0.618216,-443.88665465,471.264,-1117.95,-2.89258,-0.60983,2.77374,-0.146299,339.5013732910156,-375.637765349,64.91268476005644,-1.15257,0.551581,610000
-3355.78,-62.3443,11.3167,0.141949,-1.14432,-11.0737,-3359.8,0.19841,560.197,-63.2994,2.52431,9400,0.00170439,249.637,63.40093994140625,561.964,2996.52,42000,985.539,-0.00373069,33.80297521967441,0.144802,7.3163177743554115,2832.2836481584236,23.143203737214208,0.00272231,41,-0.0015193,-0.00636789,0.728287,-990.757,0.613861,-436.598342222,367.673,-985.804,-2.94796,-0.637557,2.84805,-0.110528,317.00469970703125,-403.245891415,64.26249673124403,-1.14777,0.541061,620000
-4864.37,-174.451,11.1009,0.133961,-1.26436,-9.66103,-4835.49,0.25791,568.116,-164.964,2.58492,9600,0.00161435,334.993,65.66987609863281,569.487,3037.61,43000,1092.2,-0.0136955,33.65460767224431,0.158911,7.212043806910515,2896.158886517398,22.976407619193196,0.00370721,42,-0.00161183,-0.00619792,0.729559,-1093.58,0.610754,-467.140906416,437.5,-1092.27,-3.37543,-0.621726,2.67088,-0.0738796,328.349365234375,-394.144964073,63.84305909834802,-1.19571,0.209505,630000
-5167.97,-59.4326,12.4069,0.139239,-1.376,-10.2121,-5142.66,0.328127,584.659,-74.8445,2.52862,9800,0.00163258,288.598,68.57632446289062,587.059,2327.1,44000,1138.96,0.0219148,33.686484687030315,0.165303,7.248915394768119,2960.1334374397993,22.94322820659727,0.00444614,43,-0.00132632,-0.00595877,0.722945,-1142.31,0.646286,-437.894208894,456.311,-1133.99,-2.80842,-0.609433,2.71933,-0.0535267,342.8816223144531,-363.851786542,63.8786282883957,-1.16416,0.472938,640000
-4422.67,-101.863,12.942,0.139527,-1.27851,-16.706,-4429.19,0.314687,607.569,-118.723,2.63519,10000,0.00155835,257.055,66.39305114746094,609.656,2692.02,45000,1139.24,0.0636889,33.78264135774225,0.152548,7.269573723897338,3024.1701548062265,23.181898714974523,0.00361263,44,-0.00173877,-0.00598791,0.739025,-1143.16,0.627174,-454.372326456,429.07,-1140.06,-2.90562,-0.609485,2.56373,-0.091283,331.96527099609375,-378.30606262,64.23411379661411,-1.1775,0.541616,650000
-4163.07,-75.7102,16.9812,0.143431,-1.3594,-9.77981,-4179.71,0.327805,627.315,-77.8248,2.53227,10200,0.0017347,365.473,66.35192108154297,624.459,3068.02,46000,990.85,-0.0292261,33.58529851678759,0.159082,7.157415113411844,3088.0349966986105,23.16785464156419,0.00495399,45,-0.00140013,-0.00693602,0.708857,-995.18,0.696754,-449.054075438,376.918,-1000.52,-3.0614,-0.633598,2.77848,-0.14089,331.7596130371094,-391.252546552,63.91056827176362,-1.18916,0.363293,660000
-7051.98,-105.313,11.6494,0.135366,-1.45772,-11.1938,-7068.8,0.231116,594.053,-114.82,2.59722,10400,0.00160511,312.805,59.98078155517578,593.695,2780.46,47000,1111.44,-0.0139685,33.53966288547963,0.164446,7.22122607473284,3151.867398303002,23.02148634660989,0.0037855,46,-0.00159307,-0.00587518,0.700165,-1116.07,0.591877,-450.800373104,387.893,-1112.64,-2.75711,-0.623394,3.03018,-0.144528,299.9039001464844,-399.356664487,63.78237530682236,-1.16102,0.308994,670000
-3674.17,-181.433,11.2028,0.1353,-1.42497,-9.90936,-3625.55,0.341318,468.725,-183.954,2.51165,10600,0.00157617,315.701,67.7055892944336,468.462,2532.99,48000,1043.31,0.0184663,33.58996152691543,0.156889,7.228528070263565,3215.934017407708,23.148748429492116,0.00723271,47,-0.00147688,-0.00635417,0.707146,-1046.82,0.613322,-459.446858289,360.926,-1052.65,-2.65661,-0.615691,2.85968,-0.149647,338.5279541015625,-377.274579943,63.96723802667111,-1.17412,0.38301,680000
-5020.02,-125.62,13.0753,0.137691,-0.823796,-11.1043,-5028.25,0.37387,551.675,-140.829,2.79027,10800,0.00154892,289.168,66.65609741210938,553.634,2960.71,49000,1120.27,-0.0481092,33.68943627551198,0.159413,7.2269156305119395,3279.407930395566,23.054411495104432,0.00341025,48,-0.00142164,-0.00630047,0.771884,-1124.64,0.672052,-440.355899526,376.307,-1116.42,-3.00247,-0.62695,2.64928,-0.122588,333.2804870605469,-359.846022782,63.97076340112835,-1.22636,0.576525,690000
