Itr,train-MinReturn,LossAfter,train-MaxReturn,Time-SampleProc,ItrTime,LossBefore,Time-Optimization,train-EnvExecTime,train-StdReturn,Time-Sampling,train-AverageDiscountedReturn,Time,train-NumTrajs,train-AveragePolicyStd,train-PolicyExecTime,train-AverageReturn,n_timesteps
815,82.54199069816482,-0.019315084,554.2531691194309,11.330920219421387,32.03072547912598,0.00018680557,4.3481996059417725,14.994971513748169,82.5354400717904,16.341811895370483,209.66567367811072,25780.019399881363,660,0.61265105,0.8930225372314453,283.89734265723814,32640000
816,81.99769428814132,-0.019532401,673.085592528692,10.997852563858032,31.616467475891113,2.6422038e-05,4.3543407917022705,14.909371614456177,88.29716750532835,16.254440784454346,210.05143359004475,25811.642551660538,657,0.61218333,0.8943886756896973,285.5703521581454,32680000
817,90.29361756791495,-0.020580111,641.5716027529959,12.2888925075531,32.979209661483765,-4.5142904e-05,4.361745834350586,14.975423812866211,87.45130179617709,16.31875467300415,209.92582661279698,25844.628875732422,658,0.61185455,0.8937642574310303,285.3330422615855,32720000
818,82.48941562817767,-0.019899532,745.7252540381317,11.069310903549194,31.793198823928833,0.0005723375,4.383595705032349,14.984593629837036,90.39767926285529,16.330496788024902,205.89424941648386,25876.428894519806,671,0.61155397,0.8939316272735596,278.63073448351366,32760000
819,82.95572185971466,-0.02036604,594.2053138157501,12.483789920806885,33.0218141078949,0.00018456238,4.365590572357178,14.823416709899902,89.75321622646277,16.162575483322144,208.19424836960647,25909.457639455795,666,0.6112348,0.8876426219940186,282.647614820353,32800000
820,85.34620036118753,-0.01995132,692.6335640504074,11.400022983551025,31.961855173110962,-4.2666784e-06,4.2993364334106445,14.91354513168335,90.24181666937275,16.25265407562256,206.6708658736454,25941.42622423172,668,0.61082256,0.8870062828063965,280.2462346266028,32840000
821,97.28079970822637,-0.02007318,667.6585102907119,11.204254150390625,31.719180583953857,-0.0003601148,4.325067758560181,14.838325023651123,89.43061218366981,16.179994344711304,206.27516093343496,25973.151998519897,672,0.61017656,0.8909485340118408,279.12160330210025,32880000
822,84.46657513382101,-0.019477956,795.63727765438,12.522844076156616,33.20963954925537,-0.00010068175,4.3424365520477295,14.989515781402588,96.76970871118964,16.33454179763794,210.11046198028237,26006.36847782135,652,0.60969204,0.8918991088867188,287.25131105147943,32920000
823,89.59973376137081,-0.01920154,641.4346234842095,11.125914335250854,32.03259015083313,0.00054816494,4.365451097488403,15.1741464138031,86.73676770952781,16.531389474868774,210.7466933723776,26038.407653093338,657,0.6094072,0.9029853343963623,286.4291584167741,32960000
824,77.59332645626161,-0.01841705,654.3216234369731,12.43009638786316,33.03340721130371,-4.0186085e-05,4.332591772079468,14.919453620910645,89.39467382859667,16.26089572906494,211.28284381944198,26071.447427272797,654,0.6093843,0.89205002784729,287.87472488645324,33000000
825,88.21362014428277,-0.019097641,646.5090665948195,11.277188301086426,31.814687490463257,0.00056878774,4.333880424499512,14.840873718261719,91.52819024868282,16.193809986114502,211.49978111386056,26103.269110441208,652,0.60930395,0.8982110023498535,288.6451543714846,33040000
826,95.3074468395112,-0.01884699,814.2652996684687,12.630775213241577,33.478617906570435,1.822687e-05,4.372462749481201,15.116886854171753,86.51959079888171,16.465564250946045,211.17404034561352,26136.754718065262,654,0.6090985,0.8985943794250488,287.28393724436813,33080000
827,77.70988015719252,-0.019149322,627.8135458701939,11.326457023620605,31.978458404541016,0.00056803663,4.342991828918457,14.951440334320068,87.16126362664525,16.299133777618408,206.73411948352515,26168.739629745483,673,0.6092857,0.8936333656311035,279.51566683916894,33120000
828,91.11575766738221,-0.019235278,602.4977405946153,12.613006353378296,33.07961392402649,0.00013464787,4.319204568862915,14.80358624458313,84.39110648315992,16.137558221817017,209.02289523540017,26201.825779676437,667,0.60931647,0.8852450847625732,282.81394432058937,33160000
829,85.08696259453953,-0.019797713,748.5191969948535,11.22862458229065,31.791407585144043,0.0005583006,4.30627965927124,14.900466918945312,87.94351392790614,16.246662378311157,212.5649913374697,26233.62347483635,649,0.6091679,0.8938865661621094,289.90785126680606,33200000
830,84.76648428116195,-0.020726029,704.7443652297983,12.513363361358643,33.039767265319824,5.3524973e-06,4.3182783126831055,14.863073348999023,88.9150198270092,16.198235511779785,210.59909522393664,26266.67017507553,651,0.609011,0.8842389583587646,286.87565207789464,33240000
831,84.18788319978025,-0.020111293,711.2500515351596,11.190304040908813,31.795230865478516,-0.0002687247,4.3111090660095215,14.946938514709473,85.5407734506998,16.283994436264038,210.25184692311888,26298.47193622589,659,0.60873055,0.886744499206543,285.4498743718456,33280000
832,84.70490394838706,-0.019125486,787.7042554856733,10.898670196533203,31.618715286254883,0.00035221907,4.3612165451049805,14.996320009231567,90.07857897752952,16.34899353981018,211.04542479506793,26330.09720158577,649,0.60852027,0.9020111560821533,287.95487279618885,33320000
833,94.64796060234414,-0.019842574,764.8493066280051,12.232086181640625,32.928675174713135,0.00047054017,4.343500137329102,14.993366003036499,92.51049143044185,16.343318462371826,208.33868990653824,26363.03300333023,657,0.6084882,0.8938627243041992,283.5296775169165,33360000
834,103.37739388194663,-0.01991797,583.5550339709459,11.06516146659851,31.628527641296387,8.721525e-06,4.322291374206543,14.873946905136108,87.24827205966409,16.231253147125244,210.3881285777497,26394.668137073517,662,0.6081365,0.9037246704101562,285.62734939323815,33400000
835,88.63646861539993,-0.019144852,808.3518478336671,12.58998441696167,33.406126260757446,0.00010682132,4.34201455116272,15.117524147033691,92.61629736506711,16.464350938796997,210.7975171690772,26428.080845355988,651,0.60770565,0.8972623348236084,287.6006444111476,33440000
836,83.73332533022827,-0.020687144,632.1334122750819,11.359034061431885,31.990599155426025,-0.00011964857,4.296654224395752,14.986719608306885,88.28576749680428,16.3250892162323,213.22685423627559,26460.078067302704,649,0.60701805,0.888319730758667,291.1348559100977,33480000
837,82.40277054254375,-0.02059807,769.3763691137209,12.490822315216064,33.08293914794922,0.000104260966,4.316877841949463,14.92949891090393,80.96801933773496,16.265458822250366,207.25744476021987,26493.16772222519,668,0.60650927,0.8869893550872803,279.392054620662,33520000
838,101.63784307203704,-0.020107329,578.6204043864038,11.472405910491943,32.25050234794617,-7.3173396e-05,4.335148334503174,15.08365774154663,84.82085625165327,16.433093547821045,208.3424294980702,26525.424820899963,663,0.60596776,0.8952286243438721,282.2902091112506,33560000
839,89.46126210330917,-0.02023681,603.0125888352686,12.251793146133423,32.98025918006897,4.9323386e-05,4.358777046203613,15.011536598205566,86.87295242770021,16.35987114906311,212.0710787786868,26558.411428928375,646,0.605449,0.8951816558837891,289.2439756442657,33600000
840,82.25292271818022,-0.02112428,641.8261013392435,12.681030511856079,33.136632204055786,0.00012894928,4.2764573097229,14.845908641815186,83.94458435270087,16.169350624084473,212.45842796723522,26591.55467224121,647,0.60498947,0.8803200721740723,289.51995010674585,33640000
841,99.77530877070949,-0.02017218,626.4602528931738,11.305394411087036,31.867271900177002,8.524661e-05,4.301532030105591,14.917041540145874,84.5807324154698,16.250521898269653,209.99270535181515,26623.42839217186,660,0.60465,0.8854849338531494,284.72021948793457,33680000
842,86.11609871404023,-0.019774945,831.464195942794,12.721710443496704,33.60539221763611,-2.2361442e-05,4.370818853378296,15.152189254760742,89.25281887431294,16.503013849258423,212.42732719061382,26657.040648937225,648,0.6041477,0.897320032119751,290.11303285517073,33720000
843,85.30577308673989,-0.020175949,695.2626442125488,11.35371470451355,31.814934015274048,0.00012555187,4.292531251907349,14.821338176727295,85.387428187317,16.15885305404663,209.37057582025844,26688.86266040802,658,0.6037218,0.8860368728637695,283.93497405266214,33760000
844,93.22653663187305,-0.019175034,711.1145869916882,12.309309482574463,32.83353853225708,-4.9083766e-05,4.30189061164856,14.87567400932312,90.5188814818888,16.212526321411133,210.25940386007602,26721.702899456024,655,0.60320616,0.8874423503875732,286.3661702766596,33800000
845,86.53930523156193,-0.020876244,641.6543893199698,12.513559579849243,33.06602501869202,2.3367134e-05,4.307217597961426,14.897497177124023,90.98212947672705,16.235480546951294,212.92746921649226,26754.775380134583,646,0.6031512,0.8860530853271484,291.11066278405957,33840000
846,87.38937918422674,-0.018913124,680.9422980925153,11.277944564819336,31.871548175811768,-4.9175935e-05,4.3286285400390625,14.914612054824829,85.625777340714,16.25519061088562,208.95875460384326,26786.653562307358,658,0.60322964,0.8882982730865479,283.5372652622162,33880000
847,82.42064588449321,-0.020109877,663.075663030544,12.687350749969482,33.566579818725586,6.297574e-05,4.3732078075408936,15.133544683456421,86.49434986641234,16.49622082710266,210.0881580294898,26820.227239131927,657,0.60326636,0.9085168838500977,285.43130165205554,33920000
848,103.30586177947018,-0.0203982,732.3557080766276,11.344698190689087,32.07852292060852,-0.00010960634,4.351032257080078,15.018269777297974,79.69578756699845,16.372984647750854,210.08717611259948,26852.312426567078,661,0.6031611,0.8933360576629639,284.2834610394823,33960000
849,97.33177186334163,-0.019632587,611.5136877072251,11.0226731300354,31.710763216018677,0.0003544294,4.3713860511779785,14.956051588058472,81.77892334410326,16.30687665939331,204.5105656163881,26884.029782772064,684,0.6031122,0.8974838256835938,274.5058116817093,34000000
850,80.39449748992527,-0.019115767,573.9762400455206,12.300631284713745,33.02552080154419,3.998477e-05,4.373211145401001,14.992580890655518,82.44490968484376,16.341885328292847,208.42138416401673,26917.06188893318,667,0.60304564,0.8969762325286865,281.49234178226885,34040000
851,92.70215617489858,-0.019375794,663.7165221083594,11.03114104270935,31.778999090194702,-4.637647e-05,4.340259313583374,15.04623031616211,87.06700054688251,16.39778733253479,206.13386225353003,26948.86960196495,669,0.60283333,0.9001328945159912,278.6691566056697,34080000
