Total Train Time (s),Q Predictions Min,Q Predictions Mean,Number of rollouts total,VF Loss,Z mean eval,KL Divergence,R Predictions Std,QF Loss,V Predictions Max,Policy mu Max,Policy mu Mean,Train Time (s),Log Pis Mean,Number of env steps total,KL Loss,Epoch Time (s),Policy log std Mean,Log Pis Min,Policy Loss,Z mean train,V Predictions Std,Policy log std Std,V Predictions Min,RF Loss,Sample Time (s),Z variance train,Policy mu Min,Q Predictions Std,Log Pis Std,R Predictions Min,R Predictions Mean,(Previous) Eval Time (s),R Predictions Max,V Predictions Mean,Z variance eval,Epoch,Policy log std Min,Policy log std Max,Policy mu Std,Q Predictions Max,Number of train steps total,AverageReturn_all_test_tasks,AverageReturn_all_train_tasks,Log Pis Max
2138.768276544288,-3420.52,-842.106,7200,208.836,0.175624,65.51213836669922,0.00167626,2175.87,-126.814,2.76346,0.0128956,23.057833191007376,-1.64695,510000,327.5606994628906,63.60666826739907,-0.609813,-11.0539,835.024,0.349248,474.281,0.150687,-3416.31,383.481,7.131514930166304,0.526701,-2.84398,474.211,2.35721,-0.00905089,-0.00375148,33.41732014622539,0.00081219,-837.758,0.140585,30,-1.13248,-0.137117,0.684478,-135.344,31000,-419.722953828,-461.132814793,15.1131
2203.215045438148,-3764.94,-864.769,7400,226.964,0.14386,70.770751953125,0.00154912,2276.07,-101.645,2.6218,0.00759663,23.21672869194299,-1.48183,520000,353.853759765625,64.01353025529534,-0.599631,-9.58987,855.654,0.296066,477.285,0.150922,-3738.82,339.344,7.153130732476711,0.574345,-2.53686,479.465,2.53594,-0.00960057,-0.0036411,33.643670830875635,0.00141889,-856.318,0.143124,31,-1.18726,-0.0705907,0.712897,-111.779,32000,-436.593662982,-487.238392055,13.7345
2270.1740415971726,-3596.83,-975.159,7600,250.179,0.294226,73.52680969238281,0.00167851,2595.92,-63.0141,2.25419,-0.0414274,23.310276408679783,-1.21716,530000,367.634033203125,64.64744601771235,-0.58194,-9.03179,966.736,0.332797,530.412,0.14124,-3581.68,446.668,7.26016485504806,0.57241,-2.78296,532.832,2.52335,-0.00967338,-0.00360936,34.07700475398451,0.000956348,-968.712,0.151915,32,-1.1511,-0.0905601,0.749246,-71.6333,33000,-395.989845815,-456.33101446,9.26611
2339.818415623158,-4330.96,-984.958,7800,318.964,0.199575,69.35428619384766,0.00163478,2664.24,-75.3554,2.66338,-0.00224303,26.346083423122764,-1.33711,540000,346.77142333984375,70.65606737229973,-0.589789,-10.3795,980.505,0.301065,588.786,0.149828,-4251.09,431.668,7.921322620473802,0.657956,-2.6885,590.862,2.5154,-0.00845197,-0.00374679,36.388661328703165,0.000686124,-975.175,0.138574,33,-1.12766,-0.133325,0.73058,-63.1004,34000,-410.976660791,-469.891747665,11.421
2404.2724925596267,-4782.17,-953.428,8000,319.092,0.131486,65.67098999023438,0.00156044,2353.0,-168.186,2.81339,-0.0139196,23.109229864552617,-1.29882,550000,328.3549499511719,65.7421102002263,-0.584831,-13.2584,947.258,0.322802,523.479,0.140852,-4792.71,456.352,7.255764901638031,0.568075,-2.94971,522.154,2.52886,-0.00885168,-0.00342168,35.37711543403566,0.00127961,-952.331,0.156464,34,-1.12737,-0.120195,0.750486,-168.848,35000,-436.994005127,-459.795376735,11.8365
2468.4835011176765,-4278.79,-1113.65,8200,406.189,0.175193,67.3338394165039,0.00162501,2539.57,-225.211,2.588,-0.0440882,23.151919280178845,-1.48206,560000,336.669189453125,64.52746280282736,-0.590419,-10.1659,1101.01,0.284586,493.698,0.13314,-4167.66,514.691,7.286407029256225,0.663175,-2.48521,495.682,2.4616,-0.00942709,-0.00391739,34.08913649339229,-0.000291386,-1109.21,0.152564,35,-1.09954,-0.0995842,0.721338,-240.427,36000,-387.903319276,-445.805872013,7.87515
2532.9033565772697,-5193.19,-953.997,8400,201.837,0.347073,69.27357482910156,0.00163056,2335.95,-141.552,3.29686,-0.0580349,23.18894832767546,-1.3719,570000,346.36785888671875,64.18749447539449,-0.592224,-11.1211,949.461,0.581887,525.963,0.142589,-5104.87,434.633,7.2257241532206535,0.569071,-3.49596,526.428,2.67699,-0.00916923,-0.00360391,33.77282199449837,0.000454959,-950.483,0.138621,36,-1.06051,-0.0018377,0.734417,-152.118,37000,-421.439660672,-442.286764228,11.7792
2596.6185371568426,-3481.24,-1032.89,8600,222.852,0.33937,69.85205841064453,0.0015615,2899.35,-131.995,3.15755,-0.129183,23.101789952255785,-1.20536,580000,349.2602844238281,64.37007354479283,-0.60444,-9.23127,1027.83,0.307254,535.446,0.143847,-3435.66,447.565,7.262674542143941,0.613662,-2.58385,537.941,2.60323,-0.00936099,-0.00368499,34.005609050393105,0.00124753,-1030.07,0.138398,37,-1.09504,-0.124961,0.737722,-146.489,38000,-392.852486768,-460.126602056,11.4252
2661.2918915078044,-3943.99,-897.813,8800,247.727,0.336693,60.51702117919922,0.00164316,2627.68,-149.134,2.14922,-0.0746464,23.163669370114803,-1.59415,590000,302.5851135253906,63.680359572172165,-0.614607,-11.8139,893.256,0.278863,463.869,0.133176,-4015.57,345.34,7.166243487037718,0.537239,-2.54415,464.424,2.35731,-0.0116001,-0.00367134,33.35044671501964,0.000941597,-895.04,0.154775,38,-1.12571,-0.131313,0.68224,-135.244,39000,-404.203863609,-417.421156928,8.4396
2725.5940403798595,-3615.15,-1005.51,9000,273.371,0.174027,65.47151947021484,0.00157275,2533.4,-159.571,2.89892,-0.100552,23.483867693692446,-1.3359,600000,327.35760498046875,65.22390559408814,-0.610574,-10.0176,997.016,0.400163,483.516,0.141366,-3552.68,399.322,7.396442564204335,0.613259,-2.70465,488.608,2.63178,-0.00990777,-0.00366682,34.343595336191356,7.1727e-05,-991.632,0.145799,39,-1.12332,-0.112206,0.717369,-146.251,40000,-393.069202538,-416.614165651,10.5809
