V Predictions Std,R Predictions Std,Policy mu Std,R Predictions Mean,Policy Loss,VF Loss,V Predictions Mean,Q Predictions Std,Number of train steps total,Policy log std Mean,AverageReturn_all_test_tasks,Policy log std Min,AverageReturn_all_train_tasks,Z variance train,Epoch,Epoch Time (s),Policy log std Max,Q Predictions Mean,Q Predictions Min,Q Predictions Max,Policy log std Std,Log Pis Std,Z mean train,Log Pis Mean,Train Time (s),Log Pis Max,Total Train Time (s),KL Divergence,Z mean eval,RF Loss,Policy mu Max,V Predictions Max,Log Pis Min,V Predictions Min,Number of env steps total,Number of rollouts total,Policy mu Min,R Predictions Max,Z variance eval,Sample Time (s),KL Loss,R Predictions Min,QF Loss,(Previous) Eval Time (s),Policy mu Mean
46.9009,0.00134726,0.418191,-0.00469827,-318.262,43.3483,318.489,51.8773,128000,-0.884128,224.817933919,-1.93237,200.606108669,0.195396,31,162.34786848800013,-0.408451,313.325,-53.1849,418.738,0.149499,2.10095,0.52376,-1.78892,151.4431754039997,18.3398,5181.013201539996,22.824567794799805,0.545028,15.9102,2.68934,412.356,-9.8684,-2.51135,132000,1074,-2.01902,-0.000491805,0.191441,6.306339826000112,2.282456874847412,-0.00823266,185.538,4.598353258000316,-0.0157909
47.7152,0.00126243,0.40993,-0.00477348,-328.368,42.7957,327.439,51.5976,132000,-0.902699,191.606883762,-1.95513,211.698028856,0.205994,32,162.37838713199835,-0.401497,324.871,-23.9309,430.693,0.148197,2.09077,0.517396,-1.77978,151.8677075659998,10.4608,5343.321095461994,25.819011688232422,0.401496,11.9187,1.72576,421.899,-9.2105,101.985,136000,1102,-2.29029,-0.000190395,0.218947,6.27970804999859,2.5819013118743896,-0.00839325,124.655,4.230971515999954,-0.0221871
51.828,0.00136883,0.403068,-0.00487531,-328.779,54.3253,325.729,58.498,136000,-0.94071,240.858073925,-2.45667,258.130106877,0.187468,33,161.31625971000085,-0.478637,324.78,-53.452,440.351,0.157466,2.33746,0.498373,-1.62865,151.03295740800058,16.5091,5505.175781763993,25.94270133972168,0.600933,14.4456,2.47841,432.285,-10.4922,46.2764,140000,1128,-2.54465,-0.000244138,0.165531,6.122332544000528,2.5942702293395996,-0.00876195,121.095,4.160969757999737,-0.0353129
52.5334,0.00139679,0.415538,-0.00462394,-329.881,41.6941,329.73,55.6577,140000,-0.877666,177.611754115,-1.77601,177.56005324,0.21995,34,162.27844660600022,-0.229831,326.03,20.3116,438.439,0.148404,2.0509,0.498074,-1.87377,151.48508791599943,9.45178,5667.181577048995,23.891544342041016,0.730722,13.0308,2.15031,443.362,-13.08,179.704,144000,1155,-2.30156,-0.000629249,0.156027,6.0933870500011835,2.3891544342041016,-0.00859638,139.653,4.699971639999603,-0.0105267
59.0685,0.00134916,0.416085,-0.00469341,-344.252,45.0099,346.164,63.5294,144000,-0.925647,203.808581556,-2.26568,261.324415941,0.240554,35,161.0684344400006,-0.371422,340.204,-32.8365,486.053,0.166469,2.29083,0.5406,-1.54702,150.49206758299988,14.7781,5828.320268863995,27.081134796142578,0.555679,12.9899,2.1947,491.51,-8.11083,75.575,148000,1180,-2.61245,-0.000111506,0.206489,6.1483993050005665,2.708113431930542,-0.00866719,150.98,4.427967552000155,-0.0224662
57.914,0.00141461,0.411929,-0.00452264,-328.818,47.0319,328.113,62.6178,148000,-0.908554,287.61655903,-2.10842,327.297557038,0.211104,36,161.71766319900416,-0.436696,324.597,-32.0018,461.964,0.158576,2.2957,0.501186,-1.72654,150.98974470300072,17.876,5989.722054091999,23.049083709716797,0.478332,13.9589,2.42014,461.167,-9.12467,-30.2213,152000,1209,-2.5404,-0.000423081,0.210337,6.229095522004172,2.304908514022827,-0.00860649,149.143,4.498822973999268,0.00417353
56.3808,0.00117766,0.3816,-0.00466845,-333.715,42.2764,335.039,58.8971,152000,-0.923871,240.775702277,-1.93174,198.638668208,0.220439,37,162.15326660200026,-0.41966,333.503,-63.9846,448.477,0.150911,2.10156,0.43921,-1.89747,151.920087986,13.0862,6151.985370307998,21.42916488647461,0.622653,9.95034,2.54642,448.417,-8.53715,68.7066,156000,1236,-1.96555,-0.00168055,0.195546,6.049413881999499,2.142916440963745,-0.00817502,137.306,4.183764734000761,-0.0507035
60.3441,0.00139401,0.409405,-0.00455508,-342.918,42.1858,342.367,63.668,156000,-0.908051,257.388845551,-2.11351,267.393359879,0.209658,38,161.42840952899678,-0.416092,339.536,-35.2465,476.837,0.160516,2.17989,0.479708,-1.72946,150.9580890239995,13.1246,6313.5730720879965,25.01228904724121,0.495871,19.1117,1.779,474.805,-11.9074,36.0488,160000,1261,-2.02044,-0.00058997,0.254049,6.1760637879979186,2.5012290477752686,-0.00897138,143.022,4.294256716999371,-0.013474
60.5041,0.00136103,0.389426,-0.00479302,-349.665,39.562,349.778,60.7666,160000,-0.919083,275.615885841,-2.01208,280.056995619,0.227131,39,161.704263540003,-0.466146,347.078,121.349,466.11,0.15537,2.08732,0.487644,-1.76865,151.1314409330007,14.7593,6475.067878788997,24.637659072875977,0.48518,14.6413,2.45528,470.903,-9.17208,151.125,164000,1285,-2.18382,-0.000263189,0.274313,6.118776086001162,2.463765859603882,-0.00847774,149.229,4.454046521001146,-0.0363721
68.3862,0.00129207,0.410117,-0.00476519,-362.697,39.4288,362.328,69.7424,164000,-0.920152,223.134732919,-1.78565,317.049691572,0.245703,40,161.51245874599954,-0.390673,358.603,-30.985,504.445,0.162151,2.11776,0.461258,-1.57256,151.1774731530004,13.6836,6636.713258027996,27.81227684020996,0.615732,16.7581,2.71137,505.379,-7.83619,101.222,168000,1313,-2.21284,-0.000538823,0.367802,6.089679557999261,2.7812278270721436,-0.00784669,157.913,4.245306034999885,-0.0256493
65.5867,0.00133227,0.402295,-0.00448709,-343.579,37.487,343.754,68.8477,168000,-0.92056,263.37305151,-1.88648,194.777338186,0.258145,41,161.41381479600022,-0.419085,339.639,-31.3153,479.838,0.157293,2.24052,0.454534,-1.7171,150.8472568119996,15.6587,6798.348967402995,22.52159881591797,0.505607,11.1302,2.04897,490.294,-9.62123,136.95,172000,1338,-2.52358,-0.000396943,0.210962,6.187617539000712,2.252159833908081,-0.00779569,142.445,4.378940444999898,-0.00873801
69.0261,0.0013547,0.396284,-0.00434096,-336.001,38.5968,336.642,71.6925,172000,-0.892375,225.859644539,-1.97264,332.992602723,0.240499,42,161.23546405500565,-0.364686,333.547,19.1295,463.126,0.160669,2.10914,0.472189,-1.84433,150.5350379850006,13.3442,6959.372449156999,21.194982528686523,0.521862,11.1463,2.03646,459.338,-9.60545,127.578,176000,1364,-1.89553,-0.000260232,0.175132,6.099039142005495,2.1194982528686523,-0.00787468,161.582,4.601386927999556,0.0230938
73.0672,0.00118817,0.397578,-0.00466554,-369.064,43.123,368.897,75.3188,176000,-0.914083,209.170643932,-2.23536,248.617015774,0.216544,43,162.27259938300085,-0.365892,360.645,-27.9253,489.599,0.169738,2.17374,0.528511,-1.69284,151.7234358400001,13.729,7122.088481875,26.843711853027344,0.458202,23.8539,2.44184,499.987,-7.76506,36.8124,180000,1390,-2.80752,0.000595017,0.211145,6.158977258999585,2.68437123298645,-0.0075837,174.606,4.3901862840011745,-0.0485536
69.7502,0.00138911,0.413068,-0.00457939,-359.262,45.8225,357.447,71.9762,180000,-0.899356,208.512703068,-2.08887,297.061718643,0.185534,44,162.84548407399598,-0.40313,355.9,0.945123,502.228,0.160084,2.26389,0.422644,-1.76458,151.89816489499935,15.8941,7284.686092966998,23.72995376586914,0.424246,26.3302,2.63314,490.674,-11.0738,15.9153,184000,1416,-2.59206,-0.000718333,0.298561,6.113009205995695,2.372995376586914,-0.00924983,140.53,4.834309973000927,-0.0106811
72.9964,0.00144408,0.414438,-0.00447129,-364.04,42.0326,364.379,75.8727,184000,-0.903033,304.781953643,-2.06361,336.212169294,0.252446,45,163.04614090399627,-0.383431,360.4,-13.0631,499.202,0.158853,2.35217,0.502526,-1.81689,152.2709783249993,14.3052,7447.443479291995,22.60152816772461,0.522741,26.8222,2.84488,490.757,-10.4004,132.609,188000,1443,-2.46031,2.24311e-05,0.173933,6.18815167199682,2.260152816772461,-0.00840228,157.453,4.587010907000149,-0.00622639
71.7522,0.00143088,0.401246,-0.00443176,-354.247,52.614,356.586,74.9113,188000,-0.903219,276.685454079,-1.96957,295.989197862,0.240768,46,161.16492031300186,-0.330359,351.179,-11.0794,522.263,0.158294,2.25138,0.398064,-1.82777,150.626575409,13.7868,7608.800244465994,19.136323928833008,0.607569,14.362,2.443,512.106,-9.72893,42.501,192000,1469,-2.25981,-0.000122197,0.414642,6.238988730001438,1.9136323928833008,-0.00834524,165.186,4.2993561740004225,0.0178827
75.6893,0.00135852,0.410276,-0.00453769,-376.75,43.0572,376.893,78.3408,192000,-0.899375,258.837816509,-1.85585,309.363546617,0.21439,47,162.3383374619989,-0.362536,372.962,-12.7846,521.55,0.16583,2.23215,0.535313,-1.75121,151.59369231600067,14.4017,7771.057731576993,25.691402435302734,0.506942,19.4996,2.69807,515.633,-10.5667,98.5627,196000,1499,-2.6633,-0.000497455,0.208268,6.253275111997937,2.5691401958465576,-0.00863818,148.247,4.491370034000283,-0.0190704
75.7227,0.00149227,0.405078,-0.00456083,-378.4,69.9935,383.063,77.5375,196000,-0.895906,313.926512578,-1.94658,356.709149855,0.21722,48,162.40585352400012,-0.412567,375.971,-4.72732,502.8,0.164825,2.06965,0.488695,-1.87828,151.86833224899965,10.6911,7933.295190945993,22.9713134765625,0.518875,16.7779,2.28658,507.631,-8.34944,102.781,200000,1525,-2.068,0.000396585,0.144955,6.126455403000364,2.297131299972534,-0.00920428,157.804,4.411065872000108,-0.00712023
83.6351,0.00138634,0.410044,-0.00458315,-389.039,49.3981,387.33,85.2531,200000,-0.884678,282.078443165,-1.84144,325.788442013,0.226379,49,161.7796945220016,-0.358327,383.693,3.7399,524.67,0.169061,2.13703,0.481468,-1.97104,151.36585517999993,12.2522,8095.052600268993,25.026565551757812,0.490906,17.1491,2.97079,523.84,-11.5279,144.075,204000,1550,-1.69945,-7.12164e-05,0.312782,6.170181391002188,2.5026566982269287,-0.0087651,162.392,4.243657950999477,-0.019533
