Number of train steps total,Number of env steps total,Train Time (s),Q1 Predictions Std,Total Train Time (s),Log Pis Mean,AverageTrainReturn_all_train_tasks,Q2 Predictions Mean,Z variance eval,Policy mu Std,Policy mu Mean,KL Loss,Q1 Predictions Min,Policy mu Min,Q2 Loss,Z mean eval,Policy log std Max,Policy log std Mean,Q1 Predictions Mean,Number of rollouts total,Policy mu Max,Q1 Loss,Q1 Predictions Max,AverageReturn_all_train_tasks,Epoch Time (s),Q2 Predictions Max,Epoch,Q2 Predictions Min,Log Pis Max,Policy log std Std,AverageReturn_all_test_tasks,Sample Time (s),Z mean train,(Previous) Eval Time (s),Log Pis Std,Policy log std Min,Z variance train,Q2 Predictions Std,Log Pis Min,Policy Loss,KL Divergence
156000,495000,221.24266769271344,856.9522,14128.914525549859,7.979759,-498.8387497479759,-1653.1461,0.0061384765,1.5720507,-0.20577674,169.92836,-6441.505,-6.4753437,3343.2368,1.5166185,0.6416236,-0.78507215,-1651.3809,0,6.0752892,3210.491,-178.71199,-594.0153713760373,318.78546416945755,-175.73486,38,-6443.459,38.69067,0.22159502,-594.6132662485857,7.626236437819898,1.6303387,89.91656003892422,5.4595523,-1.9136449,0.007058792,856.9011,-6.2246437,1648.3798,169.92836
160000,500000,226.85756323486567,850.84814,14453.217104071751,8.342802,-548.8539319959254,-1862.7747,0.004529028,1.6082771,-0.26942816,187.95491,-7184.388,-7.5746627,3522.7012,0.7879666,0.079980135,-0.7526765,-1859.7281,0,7.140287,3319.2595,-339.0497,-622.9663834523757,325.36913895234466,-345.78793,39,-7198.1104,34.43387,0.21578021,-610.7138489743239,7.641567793674767,2.0905812,90.87000792380422,5.660456,-1.8016226,0.007948879,849.9193,-9.579573,1857.9332,187.95491
164000,505000,246.23732857126743,769.35815,14797.072524566203,8.468686,-553.973697151189,-1750.6943,0.006326015,1.6479406,-0.10009615,161.78711,-4962.666,-6.8584647,3752.9353,0.9062446,0.23035741,-0.761076,-1761.5969,0,6.0068636,3401.0388,-186.83469,-604.5797206019339,343.6660550488159,-183.75931,40,-4993.1875,41.629837,0.21440247,-622.3917381906565,7.624924071133137,0.976076,89.80380240641534,5.3502417,-1.8005853,0.0060805557,767.9588,-9.54838,1753.8701,161.78711
168000,510000,235.55299608781934,880.96893,15129.97615933232,8.030286,-562.7894627855233,-1800.7106,0.0031723268,1.6122746,-0.10993548,180.7264,-5836.6396,-6.907932,3258.5305,1.2899716,0.18426824,-0.74215585,-1797.4866,0,6.735308,3153.2954,-305.01056,-561.2974854387064,333.1467367298901,-301.9532,41,-5782.392,34.202744,0.21447831,-568.023438747027,7.600257177837193,0.991838,89.99348346423358,5.5425,-1.843688,0.0086056385,880.8405,-8.062574,1795.6273,180.7264
172000,515000,226.15471926890314,861.08234,15454.60847900156,8.084562,-544.6616761631061,-1556.241,0.003450593,1.5970325,0.21517095,203.85976,-6250.8813,-7.336377,2718.951,0.86741877,0.1855774,-0.77057046,-1556.3951,0,8.694626,2565.4832,-311.16833,-639.1673640634776,323.5379430819303,-300.9176,42,-6307.9863,35.125862,0.22366402,-587.0179384053972,7.632371950894594,2.234149,89.75085186213255,5.462697,-1.8865685,0.0060423887,864.2697,-10.671914,1554.1781,203.85976
176000,520000,247.1655062381178,864.9785,15799.386289515533,8.940882,-517.9755274215687,-1687.1426,0.011154706,1.6792551,0.072351575,167.11285,-6798.4585,-7.0370297,3761.5056,0.9865385,0.26791394,-0.7555851,-1691.1908,0,6.2989364,3545.284,-448.012,-610.8945591884026,345.62995077855885,-401.21832,43,-6815.181,33.127716,0.2146345,-548.6801044669951,7.619166477583349,1.1878649,90.84527806285769,5.565319,-1.7864836,0.017235423,864.6601,-11.337509,1686.625,167.11285
180000,525000,222.86458411067724,840.3499,16119.658291863278,8.234354,-516.3767697942102,-1576.994,0.002381506,1.6268903,-0.22563143,167.08157,-5526.71,-7.180307,3035.3103,0.8902876,0.11743605,-0.7202902,-1573.9099,0,5.6261625,2987.9514,-133.24802,-584.8926999680791,320.49894926231354,-123.908325,44,-5548.2476,37.61706,0.21132171,-567.4754932132279,7.640950426459312,1.1759962,89.99341472517699,5.127385,-1.7300217,0.011164429,840.2127,-7.664774,1572.7174,167.08157
184000,530000,227.7749510863796,734.38196,16445.49499669671,7.6882505,-476.95526549464455,-1646.5383,0.005272038,1.5862479,0.07012157,187.42705,-6691.489,-6.350632,3274.4548,0.82914245,0.3720392,-0.7532035,-1639.9293,0,6.339095,3020.8157,-387.72256,-563.4614538928467,325.14758047647774,-412.95334,45,-6670.0723,42.04139,0.20380116,-548.0540857802636,7.60588086489588,0.8148624,89.76674852520227,5.513231,-1.9784783,0.005061616,733.4284,-7.6082296,1642.1768,187.42705
188000,535000,243.40166843961924,841.26355,16786.06325533893,7.628001,-479.51424834396727,-1566.294,0.011032197,1.5453678,-0.25330624,168.5399,-6208.05,-6.343323,3033.242,0.9684342,0.42484605,-0.767732,-1566.3718,0,6.428565,2975.0837,-454.05215,-483.09089554182157,341.48124110512435,-447.41068,46,-6291.5415,34.89733,0.23151958,-554.632849755256,7.623395754024386,1.2881094,90.45617691148072,5.268491,-1.9678081,0.003564293,841.355,-5.763407,1563.4641,168.5399
192000,540000,221.97144569829106,863.2276,17105.243028335273,8.189467,-508.8659487457016,-1858.984,0.0022300405,1.6479306,-0.05429237,180.42108,-6029.6123,-6.78724,3291.6333,1.0077486,0.074905634,-0.73601925,-1847.3027,0,7.3664603,2957.6465,-360.63852,-578.4933233167525,319.09608977101743,-351.5143,47,-6091.997,30.16378,0.21321857,-570.0400196200803,7.581017574295402,0.48204088,89.54362649843097,5.4349966,-1.8310924,0.0032664395,863.67163,-8.89277,1851.9677,180.42108
196000,545000,224.1406941972673,824.6924,17426.641877426766,7.777153,-421.64738993233067,-1834.0222,0.007164876,1.6042789,-0.11175247,186.79607,-6704.466,-7.8791385,3123.3613,0.73850197,0.22378016,-0.72514737,-1835.3844,0,8.1115055,3015.4382,-536.7552,-482.2926696612673,321.38163784425706,-526.96436,48,-6744.2974,38.43947,0.21856406,-562.7796232904926,7.613300914876163,0.8183652,89.6276427321136,5.7992163,-2.042118,0.005647091,824.5095,-6.9908485,1832.1328,186.79607
200000,550000,236.64085516240448,757.33167,17761.190804190934,7.997667,-494.58563820589796,-1591.3922,0.012628014,1.5830827,-0.19212827,170.6826,-5278.346,-5.8416696,2847.543,0.90644133,0.32856882,-0.7480575,-1592.3444,0,5.3694615,2753.1658,-137.63345,-585.4273487994761,333.88039633911103,-141.81046,49,-5257.7563,41.012444,0.2165173,-562.4371299790522,7.594424827024341,0.7410127,89.64511634968221,5.51296,-1.921742,0.0061977576,758.91675,-7.5467987,1589.2792,170.6826
