V Predictions Max,Log Pis Max,Log Pis Min,R Predictions Min,Number of rollouts total,Policy log std Mean,V Predictions Mean,Sample Time (s),Number of train steps total,KL Loss,Policy mu Min,Policy log std Min,Policy log std Max,AverageReturn_all_train_tasks,V Predictions Min,Z variance train,Q Predictions Mean,Total Train Time (s),Log Pis Mean,(Previous) Eval Time (s),Q Predictions Std,QF Loss,Train Time (s),KL Divergence,AverageReturn_all_test_tasks,R Predictions Mean,Number of env steps total,Policy Loss,Epoch,Log Pis Std,R Predictions Max,V Predictions Std,Q Predictions Max,Q Predictions Min,R Predictions Std,VF Loss,Z mean eval,Epoch Time (s),Policy log std Std,Z mean train,Policy mu Std,RF Loss,Policy mu Max,Policy mu Mean,Z variance eval
2216.91,42.7303,-9.3725,-0.0123327,47692,-0.77332,1495.78,4.978152875963133,1758000,17.332324981689453,-5.12223,-2.51245,0.170166,741.169367441,-126.535,0.00268234,1486.3,129875.59148637077,1.13928,17.83127431801404,309.431,1067.99,126.1675482809951,173.3232421875,710.43818884,-0.00563605,3596000,-1492.04,878,3.49624,-0.000385508,293.757,2209.08,-62.6209,0.00243157,210.871,0.98227,148.97697547497228,0.251993,0.938385,0.909084,357.727,11.7706,0.316364,0.00156974
2200.59,51.1241,-10.0183,-0.0128423,47732,-0.751601,1416.45,5.0053493559826165,1760000,15.610060691833496,-7.82346,-2.70558,0.76421,736.763078447,-6.74611,0.00324591,1408.37,130023.85916479869,0.972104,18.19176877499558,258.523,880.508,125.62551282599452,156.10060119628906,726.526002271,-0.00596785,3600000,-1414.34,879,3.5094,-0.000274224,241.866,2188.96,-133.98,0.00244956,250.401,1.15949,148.82263095697272,0.25081,0.604277,0.890449,307.078,8.64563,0.34351,0.00135375
1994.38,35.2591,-8.50322,-0.0117635,47775,-0.757232,1317.65,4.926303266984178,1762000,17.128219604492188,-5.36019,-2.62276,0.943224,745.836724287,-63.2215,0.0017616,1313.72,130172.58184104966,1.15025,17.64267250499688,319.185,895.268,125.76133782998659,171.28219604492188,726.529058167,-0.00537176,3604000,-1317.87,880,3.64678,0.000220383,307.506,1998.13,-120.345,0.002502,257.5,0.687516,148.33031360196765,0.261797,0.903612,0.918724,299.578,8.39822,0.308028,0.00172486
2193.99,35.7945,-11.0137,-0.0133544,47815,-0.765098,1470.8,5.013513040001271,1764000,16.565412521362305,-6.42507,-3.47362,0.261055,731.220109521,-16.9824,0.00174368,1469.87,130320.0210255186,1.07906,18.040478710987372,290.823,916.413,124.49492992198793,165.6541290283203,741.96720801,-0.00576651,3608000,-1476.92,881,3.37491,0.000721456,276.012,2185.2,-29.7248,0.00261901,230.913,0.932661,147.54892167297658,0.25343,1.15512,0.885437,321.89,6.0366,0.37082,0.000917099
2008.68,35.1388,-7.95796,-0.0126774,47858,-0.770765,1457.46,4.926506691990653,1766000,15.894640922546387,-4.52368,-2.81164,0.109455,749.488393609,-82.5876,0.00112119,1450.04,130467.9652437816,1.06391,17.93650441200589,304.186,880.334,124.88462762100971,158.9464111328125,737.983210993,-0.00566903,3612000,-1457.14,882,3.377,0.000516449,285.279,2017.9,-148.54,0.00261176,407.559,1.05125,147.74763872500625,0.260423,0.971795,0.899097,382.907,5.28697,0.308164,0.00135037
1976.81,31.2289,-9.39754,-0.0130643,47900,-0.744649,1372.29,4.961716804886237,1768000,17.081361770629883,-3.99822,-3.05308,0.167395,753.368506029,-8.61834,0.00123645,1367.56,130616.3323313155,0.956303,18.139339213026688,300.385,779.183,125.31684538599802,170.81361389160156,735.437173817,-0.00553793,3616000,-1369.6,883,3.20424,0.000133086,292.363,1975.8,-59.1299,0.002514,186.908,0.761094,148.41790140391095,0.251246,1.09628,0.870996,290.641,5.15395,0.348406,0.00128977
2138.82,38.531,-10.3332,-0.0127223,47941,-0.769887,1476.87,4.914781141007552,1770000,16.411731719970703,-6.68015,-3.02247,0.632691,740.112606897,8.03658,0.00186938,1470.24,130763.25662568753,0.932487,18.094367854995653,265.391,681.171,123.80175705999136,164.1173095703125,744.883890957,-0.00559331,3620000,-1476.7,884,3.25177,0.000545376,248.657,2137.55,-70.9041,0.00259679,233.191,0.989684,146.81090605599456,0.251546,0.554864,0.861219,334.842,5.51695,0.344354,0.00116597
2206.35,38.5076,-15.4232,-0.0121102,47982,-0.768644,1425.58,4.96974929200951,1772000,17.60932731628418,-4.97768,-2.39202,0.215598,747.058259649,-72.2874,0.00278651,1417.61,130910.71371704846,1.37616,18.213505822001025,337.208,944.324,124.21914852800546,176.09327697753906,735.902347276,-0.00548394,3624000,-1420.5,885,3.39085,0.000617274,325.652,2218.16,-37.4176,0.00245805,253.013,0.742497,147.402403642016,0.257477,0.764399,0.913927,320.777,5.21695,0.364742,0.00119406
2010.03,55.751,-8.8996,-0.0128179,48028,-0.765163,1420.14,4.99248204001924,1774000,15.744606018066406,-10.2478,-2.29713,0.457622,727.9147679,-44.3628,0.00239192,1414.25,131058.74397181353,0.884208,18.274327671999345,281.891,938.82,125.14698141699773,157.44606018066406,719.828570003,-0.00585784,3628000,-1421.04,886,3.42925,0.000106951,266.098,2008.92,-45.5565,0.00249355,198.301,0.885457,148.41379112901632,0.248914,0.664705,0.873662,331.19,7.34237,0.316652,0.00164001
2251.15,30.5676,-12.5754,-0.0134187,48070,-0.770031,1475.54,5.001023881952278,1776000,15.568422317504883,-3.82474,-2.7165,0.231582,728.286934831,20.5654,0.00208001,1468.39,131205.91291894545,1.0144,17.89638177800225,287.412,836.332,124.03399163699942,155.68421936035156,734.238945121,-0.00570208,3632000,-1472.53,887,3.41497,0.000339514,275.55,2268.74,-121.613,0.00249387,221.94,0.695216,146.93139729695395,0.261827,1.06057,0.878601,351.766,5.87886,0.332526,0.00134058
