Z mean train,R Predictions Std,V Predictions Mean,V Predictions Std,KL Divergence,Policy Loss,Epoch,Q Predictions Std,Q Predictions Max,KL Loss,AverageReturn_all_train_tasks,Total Train Time (s),R Predictions Max,V Predictions Min,Q Predictions Min,VF Loss,Policy mu Std,Number of train steps total,(Previous) Eval Time (s),V Predictions Max,Policy log std Max,R Predictions Min,Policy mu Max,Number of env steps total,Policy mu Mean,Policy log std Min,Z mean eval,Z variance train,Epoch Time (s),R Predictions Mean,Log Pis Min,AverageReturn_all_test_tasks,Policy log std Std,Z variance eval,Policy log std Mean,Q Predictions Mean,Log Pis Mean,RF Loss,Number of rollouts total,QF Loss,Log Pis Max,Policy mu Min,Train Time (s),Log Pis Std,Sample Time (s)
0.223093,0.00227805,-958.131,561.753,63.73457717895508,962.946,35,563.786,-94.2281,318.6728820800781,-518.147384623,2492.4273813879117,0.00828403,-3744.48,-3778.88,242.004,0.756586,36000,34.77478848211467,-84.5765,0.0248882,-0.0045894,3.19146,560000,0.0448568,-1.17432,0.241154,0.595294,65.88263887539506,0.00240698,-10.308,-500.609690265,0.167249,0.155169,-0.578044,-967.833,-1.18653,372.775,8200,2776.45,10.8819,-2.88078,23.683534499257803,2.62811,7.424315894022584
0.313064,0.00218626,-861.244,566.695,71.34127044677734,854.017,36,571.306,-70.423,356.70635986328125,-474.879998307,2557.825439248234,0.0085895,-4993.56,-5031.11,328.745,0.726051,37000,34.29995346162468,-71.2447,-0.0311894,-0.00587159,2.79095,570000,-0.0218851,-1.20251,0.448968,0.614855,65.2216951455921,0.00226758,-10.6388,-455.432361873,0.165694,0.148884,-0.606364,-861.148,-1.32232,390.256,8400,2442.31,12.6429,-2.72954,23.579260209575295,2.61992,7.342481474392116
0.355365,0.0020696,-1021.66,472.569,65.7688980102539,1025.19,37,475.766,-59.9214,328.844482421875,-453.305202213,2625.822507403791,0.00921062,-3535.14,-3569.85,215.57,0.732552,38000,34.47651133593172,-69.2303,-0.102549,-0.00421864,3.04627,580000,0.0617506,-1.1602,0.349523,0.765844,67.03158166259527,0.00256095,-11.5713,-493.151295044,0.148301,0.140784,-0.589638,-1029.72,-1.35139,408.588,8600,2728.77,13.189,-2.62964,25.17743698321283,2.55747,7.377633343450725
0.242165,0.00220933,-1016.79,450.285,63.030174255371094,1019.09,38,453.642,-181.765,315.15087890625,-482.929326202,2692.2185063837096,0.00767458,-3494.66,-3518.43,227.268,0.726578,39000,35.448523638769984,-177.474,-0.0846075,-0.00534214,2.49869,590000,0.0198225,-1.16552,0.385248,0.580468,66.99885703343898,0.00253155,-10.6191,-475.657383845,0.13911,0.13894,-0.566028,-1022.96,-1.4659,390.151,8800,2179.97,10.6219,-2.41042,23.923677030019462,2.63984,7.626656364649534
0.295513,0.00210099,-923.555,529.857,70.11824035644531,928.24,39,533.363,-164.197,350.5911865234375,-451.178034946,2757.7807854209095,0.00791751,-4307.06,-4372.1,231.69,0.732155,40000,34.839478293433785,-176.584,-0.0450779,-0.00534996,2.62621,600000,-0.0656543,-1.19217,0.174233,0.663843,65.99239204823971,0.00232799,-11.1729,-458.09502584,0.153276,0.138601,-0.594561,-931.227,-1.3711,371.997,9000,2292.86,11.1574,-2.65764,23.670337330549955,2.68453,7.482576424255967
0.506739,0.00218514,-948.373,518.741,65.73969268798828,964.809,40,525.045,-173.613,328.6984558105469,-431.931676801,2824.072642542422,0.00724709,-3701.54,-3722.15,608.988,0.718799,41000,34.409428304992616,-161.614,-0.0615039,-0.00704058,2.59055,610000,-0.0338092,-1.26743,0.25639,0.62063,65.34290760662407,0.00248592,-10.776,-465.752324179,0.153518,0.142248,-0.584016,-969.966,-1.53818,384.214,9200,2220.9,12.9575,-2.81103,23.572247445583344,2.57202,7.361231856048107
0.327703,0.00209893,-909.912,542.872,64.72321319580078,913.201,41,546.054,-134.913,323.6160583496094,-446.141956175,2890.0448861196637,0.00857654,-4962.96,-4970.11,242.281,0.73486,42000,35.358393248170614,-156.709,-0.126965,-0.0063275,2.81877,620000,0.0611599,-1.27522,0.422439,0.675131,66.57193198427558,0.0023521,-9.57595,-442.143440445,0.150374,0.136591,-0.619758,-916.835,-1.17083,370.691,9400,2415.87,12.0775,-3.16407,23.631184057332575,2.64726,7.58235467877239
0.29789,0.0022432,-1005.79,490.152,69.4272689819336,1005.01,42,492.67,-121.835,347.1363525390625,-448.103243082,2955.3310302747414,0.0105415,-3763.72,-3771.7,272.281,0.676249,43000,34.75887071155012,-140.153,-0.0884583,-0.00531692,2.76071,630000,0.0362789,-1.23715,0.430798,0.648347,65.74553677719086,0.00240097,-9.27962,-466.591339429,0.148846,0.153937,-0.611523,-1008.38,-1.66045,387.343,9600,2028.75,10.4397,-2.78708,23.60119324270636,2.37734,7.385472822934389
0.285443,0.00223808,-1005.36,616.457,68.14549255371094,999.29,43,617.09,-166.95,340.72747802734375,-447.303387068,3019.0258685490116,0.00970439,-4770.15,-4796.59,300.775,0.734601,44000,34.29957020841539,-172.392,-0.0650114,-0.00732151,3.44303,640000,-0.0034569,-1.22348,0.353253,0.668945,64.24142805207521,0.00252989,-11.3579,-449.468707267,0.153845,0.153194,-0.598021,-1009.23,-1.32557,393.073,9800,3619.97,13.8815,-2.72495,22.751152597367764,2.69221,7.190705246292055
0.303,0.00225585,-945.203,569.869,63.044986724853516,945.738,44,572.912,-145.044,315.2249450683594,-426.273747407,3082.8302560467273,0.00948973,-5201.92,-5249.76,226.476,0.693752,45000,33.75305986776948,-136.38,-0.0903952,-0.00577301,3.08284,650000,0.0609374,-1.35931,0.373802,0.592176,63.75113340374082,0.00235227,-9.98845,-470.367729662,0.162441,0.151591,-0.614842,-950.576,-1.54694,325.462,10000,2288.68,11.7112,-2.46596,22.754957989789546,2.41332,7.243115546181798
