Sample Time (s),Q2 Predictions Max,Log Pis Std,AverageReturn_all_train_tasks,Q2 Predictions Mean,Q1 Predictions Min,Q1 Predictions Mean,Epoch,Z variance eval,Policy mu Min,Alpha Loss,Policy log std Std,Q1 Predictions Max,Z mean eval,Train Time (s),Number of rollouts total,Policy log std Min,Number of train steps total,Q2 Loss,Alpha,Q2 Predictions Std,Q2 Predictions Min,AverageTrainReturn_all_train_tasks,Log Pis Mean,Policy mu Mean,Number of env steps total,Q1 Predictions Std,Log Pis Min,Policy mu Max,Policy Loss,Policy log std Max,Total Train Time (s),AverageReturn_all_test_tasks,Policy log std Mean,Q1 Loss,(Previous) Eval Time (s),Log Pis Max,Policy mu Std,Epoch Time (s)
9.532045970670879,-451.61264,4.3493,-619.2243108237926,-1959.9047,-7218.838,-1961.3896,30,0.0,-5.025864,1.0784237,0.29560897,-444.16763,4.9097795,441.77205370366573,0,-2.4372168,124000,3151.9028,0.14676063,892.8636,-7243.8003,-501.5838022761836,8.561998,0.15326469,455000,893.0082,-10.214142,6.9196353,1948.36,0.7943312,19158.212352098897,-629.1834167528506,-1.2912624,3060.4192,155.69556927774101,34.640347,1.3312722,606.9996689520776
10.161659794859588,-162.94981,4.128913,-566.7661534911697,-1756.1575,-5896.752,-1755.3424,31,0.0,-5.8205786,-1.0516986,0.29075676,-141.9162,4.332973,448.5465655820444,0,-2.5890253,128000,2032.8176,0.14420214,678.81915,-5840.846,-539.3908061097746,7.4568777,0.079592645,460000,679.04846,-4.513999,5.820865,1746.0211,0.52063835,19756.407070317306,-595.5021426323749,-1.2793396,2002.0004,140.22578914184123,30.4396,1.2388228,598.9340145187452
10.63300604838878,-264.869,4.1242905,-619.113880905858,-1750.0125,-6834.7773,-1753.2028,32,0.0,-5.500795,-1.3731318,0.27459013,-292.64615,4.123138,450.9294888069853,0,-2.8321953,132000,2161.6624,0.14805943,685.9759,-6772.062,-539.413554293282,7.2811065,0.06825192,465000,686.5386,-6.788486,5.562393,1746.5367,0.4106078,20371.766806127504,-642.0005443880473,-1.2698021,2195.7869,139.48716345615685,34.39366,1.2164806,601.049658311531
8.590205261483788,-804.6777,3.9987988,-609.882016786904,-1959.4594,-5201.501,-1961.5403,33,0.0,-4.923921,-1.3208399,0.29080868,-804.2134,4.423391,448.5184039864689,0,-2.4705143,136000,2042.8002,0.15002137,657.3026,-5211.97,-523.6700982834958,7.3037233,0.17109485,470000,657.50806,-6.8193674,5.974977,1958.593,0.5396508,20988.143315033987,-637.2757362318672,-1.2443364,2000.0371,153.79850402940065,29.081642,1.2335409,610.9071132773533
9.583038654178381,-453.65494,4.394851,-596.0192175031476,-1654.9863,-4867.4023,-1656.2751,34,0.0,-5.528594,-0.5809639,0.28198978,-476.11612,5.351461,441.69553102273494,0,-2.5398245,140000,2663.0984,0.15428871,719.2557,-4913.262,-556.9291044016114,7.6891785,0.22725086,475000,719.0197,-11.134031,6.858302,1652.7789,0.3705386,21596.205381986685,-625.5485422048972,-1.243432,2721.9998,159.26781586091965,31.019087,1.263002,610.546385537833
10.914837831631303,-52.838432,4.663498,-655.0338912863645,-1832.3668,-5887.049,-1828.306,35,0.0,-4.994161,-0.2760189,0.3048586,-46.159397,4.160468,444.10006823949516,0,-2.4280128,144000,2193.679,0.15194556,726.3104,-5886.2544,-578.5651479388383,7.8535156,0.23957177,480000,727.1763,-9.498563,5.980944,1825.2952,0.47571278,22202.476220156066,-599.3572845534101,-1.2226928,2265.1663,156.7845353409648,35.969368,1.2905285,611.7994414120913
11.151004668325186,-722.8759,4.4325404,-553.5584359150363,-1958.6158,-6117.328,-1958.4309,36,0.0,-4.999818,-0.12776466,0.29461607,-742.1279,4.697225,446.45816457178444,0,-2.3714614,148000,2698.8857,0.15624985,681.43243,-6100.8,-509.36903017340694,7.9311814,0.32798225,485000,684.0361,-5.100954,5.557104,1957.6488,0.28823376,22800.65153851267,-646.2686050367194,-1.1991937,2910.0806,151.25734913814813,27.649017,1.2921382,608.8665183782578
9.827320356853306,-214.72635,4.488576,-630.4833027766715,-2047.2074,-4998.903,-2051.7368,37,0.0,-5.004495,-0.34606478,0.30054837,-223.3978,5.053454,428.67450227960944,0,-2.748695,152000,2635.0989,0.15861535,835.96564,-5047.98,-538.2334545018189,7.8120537,0.059168518,490000,836.0736,-4.585809,5.6219096,2046.1199,0.5674131,23372.332595964894,-650.1933102488058,-1.2254515,2658.7844,140.56734023615718,33.48907,1.3044125,579.0691628726199
12.337838378734887,-189.11105,4.59665,-657.2373109760218,-2024.719,-5561.2827,-2024.2043,38,0.0,-5.5145507,-0.06341047,0.28625086,-176.8273,4.5551767,443.4821494091302,0,-2.6349006,156000,2529.577,0.15798241,873.9393,-5578.642,-559.0716858149983,7.965636,0.32404345,495000,872.7284,-4.8867307,6.166746,2015.2982,0.6825435,23963.569912858307,-626.6098186755178,-1.2005733,2560.9202,133.17946243658662,36.983738,1.2868932,588.9994502244517
10.245346025563776,-117.07616,4.4023366,-640.0416231773581,-1936.3484,-5945.846,-1937.3284,39,0.0,-5.1471734,-0.06647246,0.2859757,-143.77167,3.7457154,443.8669575564563,0,-2.6614604,160000,2223.7146,0.1623976,724.9187,-5865.5547,-508.4960805595347,7.96343,0.0799333,500000,726.0661,-6.2846828,5.974954,1932.5349,0.3149141,24561.26088422723,-605.9132692821435,-1.1753172,2192.6497,135.4168504010886,32.44283,1.3423694,589.5291539831087
10.441070006228983,-463.46802,4.6531005,-619.2813088209466,-1946.3047,-6069.2773,-1949.2502,40,0.0,-8.602253,0.8404524,0.29085365,-468.5949,5.1738915,442.9018751112744,0,-2.510541,164000,2691.0237,0.16156581,817.5874,-6082.906,-511.42126222875544,8.461048,0.14340399,505000,817.35486,-8.05922,7.8196635,1933.7749,1.2249174,25170.36859858781,-642.1903757239804,-1.1930988,2720.4233,143.57881631795317,39.412483,1.3813704,596.9217614354566
8.481505727395415,-229.72969,4.5992846,-585.2457061385882,-1934.013,-5675.929,-1934.0696,41,0.0,-5.262526,0.08382365,0.2949758,-234.07286,4.4711013,445.75081865489483,0,-2.6463742,168000,3035.1394,0.16302967,804.21436,-5606.368,-512.5270228549232,8.046213,0.16872703,510000,804.4782,-5.5423265,6.2524166,1924.2932,1.0835693,25772.436131622642,-676.4652017567385,-1.2099942,2894.375,155.76567112468183,38.932144,1.3247354,609.9979955069721
10.544318879023194,-95.76353,4.6140833,-605.8452699196968,-1919.6045,-5677.218,-1914.4371,42,0.0,-6.4509125,0.6976902,0.29566222,-66.42441,3.7705626,334.5305910464376,0,-2.544506,172000,2491.7207,0.16336446,691.24817,-5660.8135,-535.4948988330286,8.385053,0.052601874,515000,691.40765,-5.3382845,8.078553,1907.2429,0.49892223,26260.610930622555,-636.5227565409712,-1.1795137,2336.0986,147.83613243885338,35.86858,1.3840643,492.9110423643142
11.096553465351462,-346.86542,4.263227,-629.3420982159224,-1903.8718,-5801.2656,-1905.2214,43,0.0,-7.492549,-0.22182529,0.28817207,-323.50858,5.254351,375.1345887184143,0,-2.489818,176000,2268.615,0.16675596,832.395,-5819.114,-526.6496867100044,7.876178,0.27775532,520000,831.5391,-6.9910393,6.348586,1895.6758,0.6186893,26801.980025068857,-618.1123970105631,-1.1647674,2271.8333,143.10036733560264,34.252304,1.3117636,529.3315095193684
9.817709097638726,-269.97772,4.6466174,-563.4187516244743,-1750.6326,-5776.5864,-1748.8646,44,0.0,-5.5609555,1.1673502,0.30214798,-234.66782,4.330926,446.22030722536147,0,-2.6641948,180000,2555.9753,0.16875502,804.2647,-5758.4365,-541.0644901038344,8.656037,0.34061688,525000,803.1507,-10.051528,5.8383455,1751.2761,0.6896887,27409.823583393358,-631.6765255700361,-1.1912193,2626.0066,155.13880976475775,41.40159,1.3529375,611.176826087758
10.235705783590674,-434.68427,4.34228,-616.6935229760528,-2144.2805,-6031.838,-2143.0828,45,0.0,-5.875872,0.122440934,0.2953108,-445.85104,4.823291,447.2566508091986,0,-2.4546762,184000,2346.6575,0.16581315,744.31494,-6019.7285,-552.1663095238799,8.068141,0.00620951,530000,743.7374,-5.597842,6.3657117,2132.4253,0.6120976,28009.402783310972,-615.7857754429042,-1.1705204,2292.6462,151.8059583986178,31.52248,1.3513303,609.2983149914071
11.16823223233223,-625.64087,4.4315104,-559.9207453614833,-2080.064,-6790.7173,-2079.9836,46,0.0,-6.92306,-0.3825672,0.29310524,-644.6631,4.76422,452.45905736647546,0,-2.3282127,188000,2088.1685,0.16844745,780.9075,-6790.4453,-502.91370093910774,7.7852106,0.25406,535000,780.7896,-7.404224,6.970913,2077.1348,0.3699968,28608.42131886445,-636.3148938764981,-1.1266088,1983.1825,142.0870795994997,31.100769,1.3420318,605.7143691983074
10.742596856318414,-454.2577,4.6495705,-604.651570165848,-1823.5295,-5480.135,-1821.0486,47,0.0,-6.821356,0.47112718,0.29245302,-461.53055,4.345027,447.3404304003343,0,-2.4499326,192000,2340.8123,0.1666669,831.11395,-5537.025,-521.0057843926355,8.26292,0.27888298,540000,831.35724,-4.184592,6.009193,1815.5565,0.8390441,29217.977056856267,-615.110167632541,-1.1685568,2280.4128,135.39230615086854,42.60545,1.3522605,593.4753334075212
