Policy Loss,Sample Time (s),Policy log std Mean,(Previous) Eval Time (s),Z mean eval,Policy mu Std,Log Pis Std,R Predictions Mean,Log Pis Mean,AverageReturn_all_test_tasks,Policy mu Mean,Q Predictions Std,Train Time (s),Number of env steps total,Log Pis Min,V Predictions Min,Policy log std Min,KL Divergence,Z variance eval,Q Predictions Min,KL Loss,RF Loss,V Predictions Std,Log Pis Max,AverageReturn_all_train_tasks,Epoch Time (s),R Predictions Min,V Predictions Max,Q Predictions Mean,Z mean train,Z variance train,Number of rollouts total,Policy mu Min,Epoch,Q Predictions Max,Policy log std Max,Policy mu Max,R Predictions Max,R Predictions Std,Number of train steps total,VF Loss,Policy log std Std,QF Loss,Total Train Time (s),V Predictions Mean
-1316.61,7.1846518970032776,-0.421411,67.30542372499986,0.868465,0.958608,8.85517,-0.0166597,-0.172274,666.447120543,0.173161,671.346,378.080007216,328000,-16.9267,5.91132,-2.0579,113.69493865966797,0.0238669,5.85738,11.369494438171387,576.491,651.262,54.7304,669.747459313,452.57008283800315,-0.338249,2498.1,1267.74,1.2685,0.0427161,14345,-5.09587,31,2490.94,0.139186,6.0004,0.239919,0.0343865,128000,1049.85,0.213545,2110.78,14819.522019749013,1329.27
-1255.37,7.189294270998289,-0.411118,68.86628067299898,0.474214,0.931946,7.87092,-0.0162628,-0.670315,826.157050615,0.182732,629.139,378.53875809000056,332000,-14.0685,18.0154,-1.57728,94.39717102050781,0.0258346,-24.7351,9.439717292785645,559.292,616.793,42.6643,803.507315437,454.5943330339978,-0.196691,2136.58,1217.0,0.4425,0.0278453,14443,-4.24311,32,2115.98,0.0879439,5.52941,0.101647,0.0316417,132000,965.856,0.21804,2273.6,15281.364129358008,1264.77
-1297.67,7.399106144001053,-0.420645,76.1145176279988,0.865975,0.941568,8.19854,-0.0177221,-0.439665,631.687482308,0.177614,618.033,376.7916747880008,336000,-19.8886,7.66518,-1.85045,99.29468536376953,0.0394491,6.64959,9.929469108581543,579.107,603.56,46.946,698.48006336,460.30529856000067,-0.275648,2270.67,1252.91,0.568058,0.0336332,14549,-5.38958,33,2257.28,0.0525514,7.52921,0.148542,0.0338242,136000,727.334,0.218143,2041.52,15736.04641471101,1296.5
-1315.97,7.403363786994305,-0.426628,70.49206128199876,0.552719,0.961175,8.68378,-0.0163545,-0.0546504,758.249120025,0.156812,667.034,377.3123009660012,340000,-15.5994,-4.28345,-1.84748,117.03823852539062,0.0253144,-0.618921,11.703824043273926,562.984,652.652,55.272,813.561211824,455.20772603499427,-0.353112,2460.19,1270.73,0.697809,0.0296139,14653,-4.40455,34,2447.97,0.119163,4.5124,0.0923444,0.0337612,140000,717.262,0.216195,2062.8,16195.277189517012,1316.53
-1396.97,7.229813506997743,-0.429531,74.51533322400064,0.382635,1.01801,9.96735,-0.0164305,1.13962,763.639781816,0.195012,697.673,376.3854931609967,344000,-16.0983,13.3302,-1.7277,128.56103515625,0.0318956,-41.6025,12.856103897094727,567.745,675.241,54.2225,787.047754281,458.1306398919951,-0.339531,2373.97,1335.32,0.953447,0.0355852,14750,-4.43472,35,2370.91,0.0319887,4.15644,0.123012,0.0344859,144000,931.556,0.218904,1916.63,16655.881479472002,1386.37
-1327.59,7.291359640003066,-0.418444,76.98993416799931,0.238253,0.982982,8.62763,-0.0169235,0.265993,912.032748055,0.1612,681.355,377.05716858600135,348000,-15.4612,2.32162,-1.74534,117.79833221435547,0.0260392,-9.62344,11.779833793640137,567.44,666.818,50.9508,853.183808188,461.3384623940037,-0.387203,2438.52,1278.26,0.513614,0.028081,14841,-4.95735,36,2414.5,0.110466,4.52633,0.153889,0.0344806,148000,986.053,0.217555,1954.24,17112.015467649006,1339.01
-1271.77,7.277964442004304,-0.432124,71.78562999300266,0.336242,0.982249,8.54068,-0.0190027,0.405701,900.396144745,0.149732,632.566,376.69407847800176,352000,-17.864,12.159,-1.96616,105.18462371826172,0.0264956,-78.9847,10.518462181091309,555.88,618.186,53.6795,896.232996986,455.7576729130087,-0.269815,2077.61,1220.44,2.18863,0.01643,14935,-5.4669,37,2088.61,0.184249,3.90756,0.108876,0.0347633,152000,841.975,0.211887,2173.98,17570.582431351017,1268.25
-1420.75,7.066346893006994,-0.453074,74.59548347300006,0.322261,1.0363,10.0721,-0.0145064,1.48621,905.355975114,0.162405,717.147,376.5192656959989,356000,-15.5741,20.4969,-2.07535,132.16473388671875,0.0371841,-12.8341,13.216473579406738,586.041,693.746,57.5984,898.362156219,458.18109606200596,-0.338244,2506.15,1352.09,1.91304,0.0451005,15023,-6.10409,38,2489.23,0.0786752,5.79243,0.122825,0.0340301,156000,978.607,0.222661,3854.4,18026.317115708014,1419.48
-1328.66,7.24033215099189,-0.447602,72.14934192899818,0.642315,1.01418,9.4745,-0.017534,1.1223,947.243812242,0.159832,687.622,376.6154090830023,360000,-16.9957,22.0599,-2.01821,95.7625961303711,0.0436409,-10.8327,9.57625961303711,561.497,671.219,50.0266,916.283602967,456.0050831629924,-0.31593,2354.31,1274.55,0.276919,0.0331607,15113,-7.69874,39,2354.74,0.302229,4.19077,0.117711,0.0352652,160000,1064.65,0.222388,1987.73,18481.281428839004,1335.99
-1405.03,7.1953007919983065,-0.437997,71.10945678499775,0.93738,0.981697,8.93286,-0.0166212,0.406227,835.891781144,0.165345,674.455,377.26944204100073,364000,-15.9285,26.7848,-2.03282,103.3070297241211,0.0212364,-19.2747,10.330702781677246,552.077,660.746,47.9966,824.81382237,455.5741996179968,-0.208172,2325.18,1351.82,0.858568,0.0501904,15209,-4.51725,40,2308.09,0.0344303,5.4443,0.0917595,0.0321404,164000,835.794,0.22069,2069.26,18938.813835184006,1409.25
