Policy mu Max,Policy mu Mean,Number of env steps total,QF Loss,KL Loss,VF Loss,Epoch,Policy log std Std,KL Divergence,Z variance eval,Sample Time (s),Policy mu Min,Epoch Time (s),Policy mu Std,V Predictions Max,Policy log std Mean,R Predictions Mean,AverageReturn_all_test_tasks,RF Loss,Policy Loss,Log Pis Std,R Predictions Max,(Previous) Eval Time (s),R Predictions Std,V Predictions Min,Policy log std Max,Z mean train,V Predictions Std,Policy log std Min,Q Predictions Std,Q Predictions Mean,V Predictions Mean,Z variance train,Log Pis Max,R Predictions Min,Log Pis Min,Log Pis Mean,Z mean eval,Total Train Time (s),Train Time (s),AverageReturn_all_train_tasks,Q Predictions Max,Number of rollouts total,Q Predictions Min,Number of train steps total
2.68924,-0.166001,314000,467.374,6.948460578918457,698.725,30,0.230863,69.48460388183594,0.034662,10.494530834000216,-3.01599,88.58258286799992,1.09386,1783.28,-0.481633,0.00100543,909.86145853,140.1,-1125.98,3.30549,0.00895523,4.038098630999684,0.00290401,56.5019,0.0959406,1.50449,391.282,-1.78668,403.802,1131.65,1106.03,0.0884721,11.8689,-0.00837967,-7.95216,1.21499,1.99712,2787.2771680140017,74.04995340300002,870.038287657,1844.74,1880,139.077,62000
2.84966,-0.0779068,324000,195.971,8.84365463256836,89.0409,31,0.251248,88.4365463256836,0.0426282,10.070914468999035,-2.72788,87.84893887199905,1.04983,2021.41,-0.493833,9.33545e-05,916.671356135,256.584,-1065.07,3.20569,0.00964936,4.135336445000121,0.00320101,170.45,0.0899184,1.94602,406.899,-1.89329,414.027,1055.06,1069.32,0.0383129,10.9714,-0.0104931,-6.67182,1.00617,2.17598,2874.942016464001,73.6426879579999,879.055877733,2031.47,1940,155.862,64000
2.53748,-0.0991561,334000,257.091,8.418137550354004,108.411,32,0.240355,84.1813735961914,0.0265366,10.21720582700027,-2.73571,87.4016926660006,1.07877,2149.54,-0.522289,0.000119264,899.536425957,239.455,-1291.43,3.31963,0.00929603,3.951959196000189,0.00319148,156.279,0.0436022,1.88407,516.862,-1.84387,518.158,1281.6,1295.32,0.0450782,11.3843,-0.00897061,-7.78974,1.16779,1.77202,2962.3315795610024,73.23252764300014,929.66615629,2145.41,2000,106.537,66000
2.4888,-0.0481093,344000,219.426,8.106780052185059,76.5901,33,0.255655,81.06779479980469,0.0399974,10.166349824000008,-2.4852,87.2486672480004,0.977188,1248.42,-0.485714,0.000573365,915.192680313,141.632,-868.036,2.97382,0.00916122,3.940139029999955,0.00292525,131.315,0.062788,1.54898,255.403,-1.82966,264.399,857.385,865.112,0.0279723,9.72083,-0.00880919,-8.11372,0.344938,2.18521,3049.5349197310034,73.14217839400044,864.392258395,1251.78,2060,123.047,68000
3.03647,-0.134032,354000,698.123,12.60117244720459,192.289,34,0.245684,126.01171875,0.0366396,10.139514716001486,-2.98741,88.16874860600137,1.20194,2530.1,-0.530699,-0.000278701,853.524745465,327.072,-1804.75,3.63997,0.00852402,3.8955111400000533,0.00351407,-202.621,0.121436,2.39893,529.249,-2.22937,538.607,1796.45,1808.69,0.121504,12.4149,-0.0100209,-7.81751,2.34781,1.71821,3137.7817906260047,74.13372274999983,908.874605172,2527.87,2120,-240.237,70000
3.25541,-0.0958323,364000,504.707,5.067018985748291,213.16,35,0.221301,50.670188903808594,0.0382162,10.507026535999557,-2.87654,86.48772103999909,0.999801,1770.29,-0.520519,0.000728057,902.518911645,162.646,-1121.1,3.05923,0.00892094,3.9744436719997793,0.00307163,134.689,-0.0202315,1.31151,386.763,-1.6936,395.976,1109.34,1116.98,0.0452905,19.9353,-0.00961468,-7.36124,0.664295,2.59067,3224.1909618080044,72.00625083199975,884.723151335,1780.13,2180,104.3,72000
2.65882,-0.0946361,374000,205.848,6.759459018707275,76.721,36,0.240058,67.59458923339844,0.0426316,10.089409816998796,-2.53238,87.76145506999865,1.08485,1960.05,-0.531431,0.0013002,947.48178129,114.905,-1255.15,3.28693,0.00821475,3.8959619150000435,0.00275448,-412.916,0.0691417,1.38549,414.554,-2.0833,420.75,1245.12,1253.23,0.0768914,13.4637,-0.0081158,-9.88853,1.4529,2.67337,3311.911849517003,73.77608333799981,916.733779631,1968.96,2240,-372.808,74000
2.69408,-0.181039,384000,285.437,8.950393676757812,218.514,37,0.245994,89.50393676757812,0.0328214,10.132151120999879,-2.71232,87.07580082799996,1.16751,2239.0,-0.554425,0.00188105,896.024997435,138.411,-1606.25,3.51331,0.00781656,3.8560587629999645,0.00264262,207.298,0.161001,1.76939,398.442,-2.12955,395.849,1597.06,1605.06,0.0915452,13.6793,-0.00764402,-6.89266,2.09503,1.25187,3399.1226286420024,73.08759094400011,914.437306778,2230.01,2300,202.128,76000
2.74155,-0.140259,394000,212.234,6.646246433258057,108.518,38,0.233947,66.46246337890625,0.0344414,10.329206531999262,-2.71483,87.66395278799882,1.10557,2046.99,-0.548955,-0.000353019,909.93435479,260.41,-1485.04,3.35665,0.00678597,3.9916779579998547,0.00331375,177.377,0.0942892,1.40762,385.084,-1.90682,390.124,1478.63,1490.51,0.0741319,11.5055,-0.00979034,-8.76093,1.56449,1.83235,3486.7917293880014,73.34306829799971,938.360651762,2041.96,2360,160.584,78000
3.05994,-0.13525,404000,233.19,5.322659015655518,68.8321,39,0.228221,53.22658920288086,0.0385223,10.245021775998339,-3.57521,87.01147578199834,1.13309,1987.56,-0.576476,0.00118522,946.536277166,124.464,-1611.24,3.31638,0.00786753,3.9978747820000535,0.00282252,127.134,-0.0198376,1.34072,272.758,-1.70484,280.466,1602.92,1610.32,0.0685052,12.1965,-0.00853069,-9.93467,1.84721,2.25097,3573.804078099999,72.76857922399995,922.968855198,2018.45,2420,122.862,80000
