(Previous) Eval Time (s),Total Train Time (s),Policy log std Std,Log Pis Mean,Number of env steps total,Policy mu Min,Number of rollouts total,Policy log std Mean,Number of train steps total,Policy mu Mean,Q Predictions Std,Epoch Time (s),R Predictions Min,Epoch,Policy log std Min,R Predictions Std,Train Time (s),Log Pis Std,VF Loss,Q Predictions Max,Z mean eval,QF Loss,R Predictions Mean,Policy mu Max,V Predictions Mean,Policy Loss,KL Loss,V Predictions Std,KL Divergence,Q Predictions Mean,Q Predictions Min,AverageReturn_all_train_tasks,Sample Time (s),Policy mu Std,V Predictions Min,V Predictions Max,AverageReturn_all_test_tasks,Policy log std Max,Z variance train,RF Loss,R Predictions Max,Log Pis Min,Z variance eval,Z mean train,Log Pis Max
4.022767767000005,3321.879660225003,0.264294,1.13115,374000,-3.01517,2240,-0.512418,74000,-0.097282,380.418,87.73867379499825,-0.0135097,36,-1.89695,0.00308852,73.26883423899972,3.30854,98.2642,1968.99,1.13429,293.167,-0.00353314,3.02166,1258.66,-1254.73,7.898704528808594,375.054,78.98704528808594,1242.33,-122.784,959.152234272,10.447071788998528,1.06392,-129.454,1967.69,914.570997377,0.154455,0.112129,340.749,0.00359243,-8.38743,0.0868682,1.22205,12.9915
3.9893142310002077,3409.472792919003,0.259246,1.14602,384000,-3.01796,2300,-0.512042,76000,-0.0522318,557.579,87.58126869500029,-0.0144349,37,-1.80967,0.00315719,73.48155299700011,3.28983,276.75,2548.21,4.14127,351.601,-0.0036133,2.90049,1322.09,-1317.21,8.372653007507324,549.131,83.72653198242188,1307.29,-203.836,972.709574503,10.110401466999974,1.06497,-283.143,2514.57,238.801567079,0.0580733,0.0687875,352.145,0.00363251,-7.15867,0.424335,1.62042,13.0886
4.001635953999994,3496.899153535002,0.234712,1.316,394000,-2.78157,2360,-0.525356,78000,-0.101676,480.958,87.35161152799856,-0.0146449,38,-1.8445,0.00331936,72.99049020200027,3.34175,222.688,2301.37,3.67133,350.231,-0.00332487,3.02683,1417.37,-1415.19,7.001433849334717,478.119,70.01433563232422,1409.75,-218.565,970.245092712,10.35948537199829,1.09007,-100.608,2296.72,-17.2782611515,0.0874336,0.148627,269.074,0.0046345,-7.98308,0.380944,1.46493,15.4692
4.0774318519997905,3584.0326199280007,0.225575,1.92546,404000,-2.74962,2420,-0.552946,80000,-0.110775,365.458,87.1930615469987,-0.0134397,39,-1.91176,0.00310946,72.7255874450002,3.42499,155.638,2033.57,1.41493,260.958,-0.00329875,2.6468,1505.68,-1508.35,5.136057376861572,353.937,51.360572814941406,1501.09,205.03,1007.74214013,10.390042249998714,1.14425,228.538,2005.74,966.648164617,0.034574,0.108818,274.763,0.00372985,-7.96227,0.0549699,1.06304,15.0955
4.018012434999946,3671.817854481,0.245394,1.84955,414000,-3.05859,2480,-0.544164,82000,-0.121998,502.039,87.76551722300019,-0.0131544,40,-1.91271,0.00325363,73.22047831500004,3.31908,99.7847,2304.99,1.81839,267.895,-0.00388942,2.66849,1476.39,-1478.51,6.6066789627075195,494.956,66.06678771972656,1468.73,113.689,959.260366702,10.527026473000205,1.11863,155.577,2291.42,960.756324814,0.109205,0.130062,318.297,0.00274605,-7.73198,0.0420795,1.44947,11.3985
4.038236650999806,3759.3609347470006,0.26658,1.24694,424000,-2.78867,2540,-0.52289,84000,-0.12636,410.687,87.5777674900005,-0.0125159,41,-2.03607,0.00322809,73.20165792499984,3.14487,129.701,2145.88,1.50484,230.432,-0.00357762,2.69416,1344.17,-1348.5,7.297618389129639,406.632,72.97618103027344,1337.75,212.074,978.588403348,10.337872914000855,1.08171,199.815,2129.92,965.059528557,0.141699,0.0688473,345.704,0.00268463,-7.19506,0.0487204,1.78746,11.3073
4.004186161999769,3849.0274975889993,0.251077,1.18523,434000,-3.19972,2600,-0.551032,86000,-0.063475,423.065,89.63237888399863,-0.0134449,42,-1.9398,0.00301435,75.3341455220002,3.21107,92.93,2100.59,2.25586,268.961,-0.00257322,2.80796,1352.53,-1351.91,5.288750648498535,413.492,52.88750457763672,1341.3,46.9128,941.370761333,10.294047199998658,1.06298,81.8289,2099.31,986.795168744,0.0899008,0.0827519,249.838,0.00334983,-8.49325,0.0352094,0.90603,12.3085
4.039264703999834,3938.472251058003,0.274866,1.20094,444000,-3.26384,2660,-0.525546,88000,-0.131475,423.576,89.41968521100398,-0.0119338,43,-2.21262,0.00279956,74.69123729400053,3.26009,80.6703,2216.39,1.75985,235.939,-0.00267901,3.90126,1363.25,-1366.03,8.04220199584961,417.729,80.4220199584961,1357.44,87.5141,994.046253559,10.689183213003616,1.0715,77.2929,2196.73,1012.65923418,0.206903,0.0347886,218.881,0.00442024,-8.44738,0.0236813,1.81767,14.9473
4.06477874599932,4027.6905057000013,0.215553,2.67537,454000,-3.69853,2720,-0.566646,90000,-0.130589,365.716,89.33815888299796,-0.0136655,44,-1.69853,0.00307712,74.9319653980001,3.46225,374.877,2685.77,2.91656,828.295,-0.00377668,3.33327,1883.54,-1872.81,7.310548305511475,364.041,73.10548400878906,1865.83,329.357,990.32215604,10.341414738998537,1.22075,360.966,2692.1,995.929680232,0.0619714,0.100782,278.298,0.0026895,-6.94705,0.0410121,1.24078,13.7358
3.9454018239994184,4116.0625576500015,0.231333,2.59173,464000,-2.69095,2780,-0.528914,92000,-0.113547,478.877,88.27916856899901,-0.0134246,45,-1.91491,0.00381179,73.9344433769993,3.47857,142.193,2819.59,1.81671,467.881,-0.00441184,2.65085,2092.81,-2089.71,14.650009155273438,474.991,146.50009155273438,2069.3,283.99,995.472479108,10.399323368000296,1.24076,308.179,2847.87,993.001035997,-0.00531045,0.147493,428.197,0.00342875,-7.87147,0.0605463,2.81445,14.8098
4.039358166000056,4204.436815054003,0.223318,1.82403,474000,-3.46403,2840,-0.571182,94000,-0.0764756,347.69,88.42884292600047,-0.0121967,46,-2.18851,0.00260253,74.03290434500013,3.10598,135.333,2117.78,3.58695,397.386,-0.0027694,3.3281,1586.76,-1590.52,6.799720287322998,339.741,67.99720001220703,1582.03,236.93,989.957999513,10.35658041500028,1.10905,232.982,2101.08,-41.2051800015,0.0254387,0.049788,201.548,0.00331175,-9.23356,0.233671,2.58814,14.8341
3.9848369330002242,4294.131996220004,0.249279,1.4141,484000,-3.5411,2900,-0.538389,96000,-0.0941823,477.698,89.65184209699964,-0.0147983,47,-2.12366,0.00345685,75.24561284799984,3.34942,146.505,2363.13,2.21257,256.785,-0.0028013,2.82115,1541.74,-1549.08,8.254284858703613,467.335,82.5428466796875,1538.05,227.276,1014.79609402,10.421392315999583,1.083,238.492,2351.57,983.694632329,0.119804,0.0273822,295.793,0.00644506,-9.31293,0.0490633,1.97364,12.5064
4.028930940999999,4384.205675963004,0.26319,1.55288,494000,-3.11801,2960,-0.556544,98000,-0.139249,436.939,90.03281973999947,-0.015144,48,-1.95137,0.00308446,75.57800324100026,3.42593,110.109,2269.5,2.35989,273.042,-0.00325978,2.53857,1534.45,-1531.75,7.447088718414307,427.492,74.47088623046875,1523.56,173.003,1012.6522656,10.425885557999209,1.09777,195.839,2246.38,1012.26233393,0.0766653,0.0834562,310.311,0.00410431,-7.86861,0.0459328,1.29471,13.2387
4.071353623000505,4473.693918665004,0.24093,1.80053,504000,-2.70022,3020,-0.592936,100000,-0.12181,518.627,89.5465405749992,-0.0140787,49,-1.76917,0.00305089,75.11622616400018,3.59284,424.906,2383.81,3.6674,1080.86,-0.00532016,2.42983,1626.19,-1624.14,7.7211174964904785,510.134,77.21117401123047,1613.7,242.404,979.102625907,10.358960787998512,1.11331,241.674,2354.53,911.595984194,0.0103207,0.187369,473.994,0.00259864,-6.95132,0.0707397,1.82246,14.3918
